scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S0,S0,Unchanged binary halving,0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,deployed binary halving
S0,S0,Unchanged binary halving,210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,deployed binary halving
S0,S0,Unchanged binary halving,420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,deployed binary halving
S0,S0,Unchanged binary halving,630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,deployed binary halving
S0,S0,Unchanged binary halving,840000,1050000,210000,312500000,3.12500000,65625000000000,656250.00000000,2034375000000000,20343750.00000000,false,deployed binary halving
S0,S0,Unchanged binary halving,1050000,1260000,210000,156250000,1.56250000,32812500000000,328125.00000000,2067187500000000,20671875.00000000,false,deployed binary halving
S0,S0,Unchanged binary halving,1260000,1470000,210000,78125000,0.78125000,16406250000000,164062.50000000,2083593750000000,20835937.50000000,false,deployed binary halving
S0,S0,Unchanged binary halving,1470000,1680000,210000,39062500,0.39062500,8203125000000,82031.25000000,2091796875000000,20917968.75000000,false,deployed binary halving
S0,S0,Unchanged binary halving,1680000,1890000,210000,19531250,0.19531250,4101562500000,41015.62500000,2095898437500000,20958984.37500000,false,deployed binary halving
S0,S0,Unchanged binary halving,1890000,2100000,210000,9765625,0.09765625,2050781250000,20507.81250000,2097949218750000,20979492.18750000,false,deployed binary halving
S0,S0,Unchanged binary halving,2100000,2310000,210000,4882812,0.04882812,1025390520000,10253.90520000,2098974609270000,20989746.09270000,false,deployed binary halving
S0,S0,Unchanged binary halving,2310000,2520000,210000,2441406,0.02441406,512695260000,5126.95260000,2099487304530000,20994873.04530000,false,deployed binary halving
S0,S0,Unchanged binary halving,2520000,2730000,210000,1220703,0.01220703,256347630000,2563.47630000,2099743652160000,20997436.52160000,false,deployed binary halving
S0,S0,Unchanged binary halving,2730000,2940000,210000,610351,0.00610351,128173710000,1281.73710000,2099871825870000,20998718.25870000,false,deployed binary halving
S0,S0,Unchanged binary halving,2940000,3150000,210000,305175,0.00305175,64086750000,640.86750000,2099935912620000,20999359.12620000,false,deployed binary halving
S0,S0,Unchanged binary halving,3150000,3360000,210000,152587,0.00152587,32043270000,320.43270000,2099967955890000,20999679.55890000,false,deployed binary halving
S0,S0,Unchanged binary halving,3360000,3570000,210000,76293,0.00076293,16021530000,160.21530000,2099983977420000,20999839.77420000,false,deployed binary halving
S0,S0,Unchanged binary halving,3570000,3780000,210000,38146,0.00038146,8010660000,80.10660000,2099991988080000,20999919.88080000,false,deployed binary halving
S0,S0,Unchanged binary halving,3780000,3990000,210000,19073,0.00019073,4005330000,40.05330000,2099995993410000,20999959.93410000,false,deployed binary halving
S0,S0,Unchanged binary halving,3990000,4200000,210000,9536,0.00009536,2002560000,20.02560000,2099997995970000,20999979.95970000,false,deployed binary halving
S0,S0,Unchanged binary halving,4200000,4410000,210000,4768,0.00004768,1001280000,10.01280000,2099998997250000,20999989.97250000,false,deployed binary halving
S0,S0,Unchanged binary halving,4410000,4620000,210000,2384,0.00002384,500640000,5.00640000,2099999497890000,20999994.97890000,false,deployed binary halving
S0,S0,Unchanged binary halving,4620000,4830000,210000,1192,0.00001192,250320000,2.50320000,2099999748210000,20999997.48210000,false,deployed binary halving
S0,S0,Unchanged binary halving,4830000,5040000,210000,596,0.00000596,125160000,1.25160000,2099999873370000,20999998.73370000,false,deployed binary halving
S0,S0,Unchanged binary halving,5040000,5250000,210000,298,0.00000298,62580000,0.62580000,2099999935950000,20999999.35950000,false,deployed binary halving
S0,S0,Unchanged binary halving,5250000,5460000,210000,149,0.00000149,31290000,0.31290000,2099999967240000,20999999.67240000,false,deployed binary halving
S0,S0,Unchanged binary halving,5460000,5670000,210000,74,0.00000074,15540000,0.15540000,2099999982780000,20999999.82780000,false,deployed binary halving
S0,S0,Unchanged binary halving,5670000,5880000,210000,37,0.00000037,7770000,0.07770000,2099999990550000,20999999.90550000,false,deployed binary halving
S0,S0,Unchanged binary halving,5880000,6090000,210000,18,0.00000018,3780000,0.03780000,2099999994330000,20999999.94330000,false,deployed binary halving
S0,S0,Unchanged binary halving,6090000,6300000,210000,9,0.00000009,1890000,0.01890000,2099999996220000,20999999.96220000,false,deployed binary halving
S0,S0,Unchanged binary halving,6300000,6510000,210000,4,0.00000004,840000,0.00840000,2099999997060000,20999999.97060000,false,deployed binary halving
S0,S0,Unchanged binary halving,6510000,6720000,210000,2,0.00000002,420000,0.00420000,2099999997480000,20999999.97480000,false,deployed binary halving
S0,S0,Unchanged binary halving,6720000,6930000,210000,1,0.00000001,210000,0.00210000,2099999997690000,20999999.97690000,false,deployed binary halving
