scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,legacy pre-activation binary halving
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,legacy pre-activation binary halving
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,legacy pre-activation binary halving
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,legacy pre-activation binary halving
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",840000,2730000,1890000,625000000,6.25000000,1181250000000000,11812500.00000000,3150000000000000,31500000.00000000,false,extended 2100000-block binary halving epoch anchored at 630000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",2730000,4830000,2100000,312500000,3.12500000,656250000000000,6562500.00000000,3806250000000000,38062500.00000000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",4830000,6930000,2100000,156250000,1.56250000,328125000000000,3281250.00000000,4134375000000000,41343750.00000000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",6930000,9030000,2100000,78125000,0.78125000,164062500000000,1640625.00000000,4298437500000000,42984375.00000000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",9030000,11130000,2100000,39062500,0.39062500,82031250000000,820312.50000000,4380468750000000,43804687.50000000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",11130000,13230000,2100000,19531250,0.19531250,41015625000000,410156.25000000,4421484375000000,44214843.75000000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",13230000,15330000,2100000,9765625,0.09765625,20507812500000,205078.12500000,4441992187500000,44419921.87500000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",15330000,17430000,2100000,4882812,0.04882812,10253905200000,102539.05200000,4452246092700000,44522460.92700000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",17430000,19530000,2100000,2441406,0.02441406,5126952600000,51269.52600000,4457373045300000,44573730.45300000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",19530000,21630000,2100000,1220703,0.01220703,2563476300000,25634.76300000,4459936521600000,44599365.21600000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",21630000,23730000,2100000,610351,0.00610351,1281737100000,12817.37100000,4461218258700000,44612182.58700000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",23730000,25830000,2100000,305175,0.00305175,640867500000,6408.67500000,4461859126200000,44618591.26200000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",25830000,27930000,2100000,152587,0.00152587,320432700000,3204.32700000,4462179558900000,44621795.58900000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",27930000,30030000,2100000,76293,0.00076293,160215300000,1602.15300000,4462339774200000,44623397.74200000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",30030000,32130000,2100000,38146,0.00038146,80106600000,801.06600000,4462419880800000,44624198.80800000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",32130000,34230000,2100000,19073,0.00019073,40053300000,400.53300000,4462459934100000,44624599.34100000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",34230000,36330000,2100000,9536,0.00009536,20025600000,200.25600000,4462479959700000,44624799.59700000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",36330000,38430000,2100000,4768,0.00004768,10012800000,100.12800000,4462489972500000,44624899.72500000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",38430000,40530000,2100000,2384,0.00002384,5006400000,50.06400000,4462494978900000,44624949.78900000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",40530000,42630000,2100000,1192,0.00001192,2503200000,25.03200000,4462497482100000,44624974.82100000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",42630000,44730000,2100000,596,0.00000596,1251600000,12.51600000,4462498733700000,44624987.33700000,false,extended 2100000-block binary halving epoch
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",44730000,46830000,2100000,298,0.00000298,625800000,6.25800000,4462499359500000,44624993.59500000,false,extended 2100000-block binary halving epoch
