scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,legacy pre-activation binary halving
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,legacy pre-activation binary halving
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,legacy pre-activation binary halving
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,legacy pre-activation binary halving
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",840000,2940000,2100000,312500000,3.12500000,656250000000000,6562500.00000000,2625000000000000,26250000.00000000,false,extended 2100000-block binary halving epoch anchored at 840000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",2940000,5040000,2100000,156250000,1.56250000,328125000000000,3281250.00000000,2953125000000000,29531250.00000000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",5040000,7140000,2100000,78125000,0.78125000,164062500000000,1640625.00000000,3117187500000000,31171875.00000000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",7140000,9240000,2100000,39062500,0.39062500,82031250000000,820312.50000000,3199218750000000,31992187.50000000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",9240000,11340000,2100000,19531250,0.19531250,41015625000000,410156.25000000,3240234375000000,32402343.75000000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",11340000,13440000,2100000,9765625,0.09765625,20507812500000,205078.12500000,3260742187500000,32607421.87500000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",13440000,15540000,2100000,4882812,0.04882812,10253905200000,102539.05200000,3270996092700000,32709960.92700000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",15540000,17640000,2100000,2441406,0.02441406,5126952600000,51269.52600000,3276123045300000,32761230.45300000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",17640000,19740000,2100000,1220703,0.01220703,2563476300000,25634.76300000,3278686521600000,32786865.21600000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",19740000,21840000,2100000,610351,0.00610351,1281737100000,12817.37100000,3279968258700000,32799682.58700000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",21840000,23940000,2100000,305175,0.00305175,640867500000,6408.67500000,3280609126200000,32806091.26200000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",23940000,26040000,2100000,152587,0.00152587,320432700000,3204.32700000,3280929558900000,32809295.58900000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",26040000,28140000,2100000,76293,0.00076293,160215300000,1602.15300000,3281089774200000,32810897.74200000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",28140000,30240000,2100000,38146,0.00038146,80106600000,801.06600000,3281169880800000,32811698.80800000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",30240000,32340000,2100000,19073,0.00019073,40053300000,400.53300000,3281209934100000,32812099.34100000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",32340000,34440000,2100000,9536,0.00009536,20025600000,200.25600000,3281229959700000,32812299.59700000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",34440000,36540000,2100000,4768,0.00004768,10012800000,100.12800000,3281239972500000,32812399.72500000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",36540000,38640000,2100000,2384,0.00002384,5006400000,50.06400000,3281244978900000,32812449.78900000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",38640000,40740000,2100000,1192,0.00001192,2503200000,25.03200000,3281247482100000,32812474.82100000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",40740000,42840000,2100000,596,0.00000596,1251600000,12.51600000,3281248733700000,32812487.33700000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",42840000,44940000,2100000,298,0.00000298,625800000,6.25800000,3281249359500000,32812493.59500000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",44940000,47040000,2100000,149,0.00000149,312900000,3.12900000,3281249672400000,32812496.72400000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",47040000,49140000,2100000,74,0.00000074,155400000,1.55400000,3281249827800000,32812498.27800000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",49140000,51240000,2100000,37,0.00000037,77700000,0.77700000,3281249905500000,32812499.05500000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",51240000,53340000,2100000,18,0.00000018,37800000,0.37800000,3281249943300000,32812499.43300000,false,extended 2100000-block binary halving epoch
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",53340000,55440000,2100000,9,0.00000009,18900000,0.18900000,3281249962200000,32812499.62200000,false,extended 2100000-block binary halving epoch
