scenario_id,scenario_display_id,scenario_name,activation_old_subsidy_rin,activation_new_subsidy_rin,immediate_miner_revenue_shock_pct,activation_required_price_growth_pct,normal_scheduled_reduction_rate,first_later_reward_shock_height,first_later_reward_shock_pct,largest_later_reduction_at_or_above_1_rin,largest_later_reduction_at_or_above_0_1_rin,largest_later_reduction_at_or_above_0_01_rin,terminal_integer_rounding_height,terminal_pre_boundary_subsidy_rin,terminal_transition_type,terminal_transition_shock,terminal_integer_rounding_shock,reduction_cadence,first_height_below_1_rin,first_height_below_0_5_rin,constant_phase_start_height,constant_phase_end_height,constant_phase_subsidy_rin,first_zero_subsidy_height,unbounded,eventual_fee_dependence,evidence_class
S0,S0,Unchanged binary halving,6.25000000,3.12500000,50.00000000,100.00000000,50.00000000%,1050000,50.00000000,50.00000000%,50.00000000%,50.00004096%,6930000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%,"210,000-block binary integer halvings",1260000,1470000,,,,6930000,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S1,S1,1/20 reduction without a floor,6.25000000,5.93750000,5.00000000,5.26315789,5.00000000%,1050000,5.00000000,5.00000067%,5.00000641%,5.00008281%,73710000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%,"210,000-block recursive 19/20 reductions",8190000,11130000,,,,73710000,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,6.25000000,5.93750000,5.00000000,5.26315789,5.00000000%,1050000,5.00000000,5.00000067%,5.00000131%,5.00000131%,261919612,0.50000000,predetermined fixed-phase termination,100.00000000%,n/a,"210,000-block recursive 19/20 reductions",8190000,261919612,11130000,261919612,0.50000000,261919612,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S2b,S2/b,Bounded 1 RIN phase comparator,6.25000000,5.93750000,5.00000000,5.26315789,5.00000000%,1050000,5.00000000,5.00000067%,5.00000067%,5.00000067%,135706704,1.00000000,predetermined fixed-phase termination,100.00000000%,n/a,"210,000-block recursive 19/20 reductions",135706704,135706704,8190000,135706704,1.00000000,135706704,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S3,S3,Perpetual 0.5 RIN tail-emission comparator,6.25000000,5.93750000,5.00000000,5.26315789,5.00000000%,1050000,5.00000000,5.00000067%,5.00000131%,5.00000131%,n/a,n/a,none under configured unbounded schedule,n/a,n/a,"210,000-block recursive 19/20 reductions",8190000,,11130000,,0.50000000,,true,nominal subsidy remains under the configured tail/plot model,consensus-deterministic
S4,S4,Idealized 113/114 cap-derived geometric schedule,6.25000000,6.19517543,0.87719312,0.88495589,0.87719298%,1050000,0.87719308,0.87719392%,0.87720104%,0.87728723%,384300000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%,"210,000-block 113/114 reductions",44310000,60900000,,,,384300000,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",6.25000000,3.12500000,50.00000000,100.00000000,50.00000000%,2940000,50.00000000,50.00000000%,50.00000000%,50.00004096%,61740000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%,"2,100,000-block binary integer halvings",5040000,7140000,,,,61740000,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",6.25000000,6.25000000,0.00000000,0.00000000,50.00000000%,2730000,50.00000000,50.00000000%,50.00000000%,50.00004096%,63630000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%,"2,100,000-block binary integer halvings",6930000,9030000,,,,63630000,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S6a,S6/a,Customized Halving study scenario I,6.25000000,4.00000000,36.00000000,56.25000000,phase-dependent,2100000,50.00000000,50.00000000%,50.00000000%,50.00000000%,280245000,0.50000000,predetermined fixed-phase termination,100.00000000%,n/a,configured phase boundaries,6300000,280245000,6300000,280245000,0.50000000,280245000,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S6B,S6/b,Bounded Customized Halving study scenario II,6.25000000,4.00000000,36.00000000,56.25000000,phase-dependent,2100000,50.00000000,50.00000000%,50.00000000%,50.00000000%,234587500,0.60000000,integer-rounding exhaustion,100.00000000%,100.00000000%,configured phase boundaries,6300000,234587500,6300000,234587500,0.60000000,234587500,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S6c,S6/c,Customized Halving study scenario III,6.25000000,4.00000000,36.00000000,56.25000000,phase-dependent,2100000,50.00000000,50.00000000%,50.00000000%,50.00000000%,233187500,0.60000000,predetermined fixed-phase termination,100.00000000%,n/a,configured phase boundaries,8400000,233187500,8400000,233187500,0.60000000,233187500,false,fees become sole scheduled miner revenue after zero subsidy,consensus-deterministic
S7,S7,Aevust Core Customized Halving tail-emission implementation,6.25000000,4.00000000,36.00000000,56.25000000,phase-dependent,2100000,50.00000000,50.00000000%,50.00000000%,50.00000000%,n/a,n/a,none under configured unbounded schedule,n/a,n/a,configured phase boundaries,6300000,,6300000,,0.60000000,,true,nominal subsidy remains under the configured tail/plot model,consensus-deterministic
