scenario_id,scenario_display_id,scenario_name,height,subsidy_base_units,subsidy_rin_display,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,note
S0,S0,Unchanged binary halving,0,5000000000,50.00000000,0,0.00000000,boundary probe
S0,S0,Unchanged binary halving,1,5000000000,50.00000000,5000000000,50.00000000,boundary probe
S0,S0,Unchanged binary halving,209999,5000000000,50.00000000,1049995000000000,10499950.00000000,boundary probe
S0,S0,Unchanged binary halving,210000,2500000000,25.00000000,1050000000000000,10500000.00000000,boundary probe
S0,S0,Unchanged binary halving,210001,2500000000,25.00000000,1050002500000000,10500025.00000000,boundary probe
S0,S0,Unchanged binary halving,419999,2500000000,25.00000000,1574997500000000,15749975.00000000,boundary probe
S0,S0,Unchanged binary halving,420000,1250000000,12.50000000,1575000000000000,15750000.00000000,boundary probe
S0,S0,Unchanged binary halving,420001,1250000000,12.50000000,1575001250000000,15750012.50000000,boundary probe
S0,S0,Unchanged binary halving,629999,1250000000,12.50000000,1837498750000000,18374987.50000000,boundary probe
S0,S0,Unchanged binary halving,630000,625000000,6.25000000,1837500000000000,18375000.00000000,boundary probe
S0,S0,Unchanged binary halving,630001,625000000,6.25000000,1837500625000000,18375006.25000000,boundary probe
S0,S0,Unchanged binary halving,839999,625000000,6.25000000,1968749375000000,19687493.75000000,boundary probe
S0,S0,Unchanged binary halving,840000,312500000,3.12500000,1968750000000000,19687500.00000000,boundary probe
S0,S0,Unchanged binary halving,840001,312500000,3.12500000,1968750312500000,19687503.12500000,boundary probe
S0,S0,Unchanged binary halving,1049999,312500000,3.12500000,2034374687500000,20343746.87500000,boundary probe
S0,S0,Unchanged binary halving,1050000,156250000,1.56250000,2034375000000000,20343750.00000000,boundary probe
S0,S0,Unchanged binary halving,1050001,156250000,1.56250000,2034375156250000,20343751.56250000,boundary probe
S0,S0,Unchanged binary halving,1259999,156250000,1.56250000,2067187343750000,20671873.43750000,boundary probe
S0,S0,Unchanged binary halving,1260000,78125000,0.78125000,2067187500000000,20671875.00000000,boundary probe
S0,S0,Unchanged binary halving,1260001,78125000,0.78125000,2067187578125000,20671875.78125000,boundary probe
S0,S0,Unchanged binary halving,1469999,78125000,0.78125000,2083593671875000,20835936.71875000,boundary probe
S0,S0,Unchanged binary halving,1470000,39062500,0.39062500,2083593750000000,20835937.50000000,boundary probe
S0,S0,Unchanged binary halving,1470001,39062500,0.39062500,2083593789062500,20835937.89062500,boundary probe
S0,S0,Unchanged binary halving,1679999,39062500,0.39062500,2091796835937500,20917968.35937500,boundary probe
S0,S0,Unchanged binary halving,1680000,19531250,0.19531250,2091796875000000,20917968.75000000,boundary probe
S0,S0,Unchanged binary halving,1680001,19531250,0.19531250,2091796894531250,20917968.94531250,boundary probe
S0,S0,Unchanged binary halving,1889999,19531250,0.19531250,2095898417968750,20958984.17968750,boundary probe
S0,S0,Unchanged binary halving,1890000,9765625,0.09765625,2095898437500000,20958984.37500000,boundary probe
S0,S0,Unchanged binary halving,1890001,9765625,0.09765625,2095898447265625,20958984.47265625,boundary probe
S0,S0,Unchanged binary halving,2099999,9765625,0.09765625,2097949208984375,20979492.08984375,boundary probe
S0,S0,Unchanged binary halving,2100000,4882812,0.04882812,2097949218750000,20979492.18750000,boundary probe
S0,S0,Unchanged binary halving,2100001,4882812,0.04882812,2097949223632812,20979492.23632812,boundary probe
S0,S0,Unchanged binary halving,2309999,4882812,0.04882812,2098974604387188,20989746.04387188,boundary probe
S0,S0,Unchanged binary halving,2310000,2441406,0.02441406,2098974609270000,20989746.09270000,boundary probe
S0,S0,Unchanged binary halving,2310001,2441406,0.02441406,2098974611711406,20989746.11711406,boundary probe
S0,S0,Unchanged binary halving,2519999,2441406,0.02441406,2099487302088594,20994873.02088594,boundary probe
S0,S0,Unchanged binary halving,2520000,1220703,0.01220703,2099487304530000,20994873.04530000,boundary probe
S0,S0,Unchanged binary halving,2520001,1220703,0.01220703,2099487305750703,20994873.05750703,boundary probe
S0,S0,Unchanged binary halving,2729999,1220703,0.01220703,2099743650939297,20997436.50939297,boundary probe
S0,S0,Unchanged binary halving,2730000,610351,0.00610351,2099743652160000,20997436.52160000,boundary probe
S0,S0,Unchanged binary halving,2730001,610351,0.00610351,2099743652770351,20997436.52770351,boundary probe
S0,S0,Unchanged binary halving,2939999,610351,0.00610351,2099871825259649,20998718.25259649,boundary probe
S0,S0,Unchanged binary halving,2940000,305175,0.00305175,2099871825870000,20998718.25870000,boundary probe
S0,S0,Unchanged binary halving,2940001,305175,0.00305175,2099871826175175,20998718.26175175,boundary probe
S0,S0,Unchanged binary halving,3149999,305175,0.00305175,2099935912314825,20999359.12314825,boundary probe
S0,S0,Unchanged binary halving,3150000,152587,0.00152587,2099935912620000,20999359.12620000,boundary probe
S0,S0,Unchanged binary halving,3150001,152587,0.00152587,2099935912772587,20999359.12772587,boundary probe
S0,S0,Unchanged binary halving,3359999,152587,0.00152587,2099967955737413,20999679.55737413,boundary probe
S0,S0,Unchanged binary halving,3360000,76293,0.00076293,2099967955890000,20999679.55890000,boundary probe
S0,S0,Unchanged binary halving,3360001,76293,0.00076293,2099967955966293,20999679.55966293,boundary probe
S0,S0,Unchanged binary halving,3569999,76293,0.00076293,2099983977343707,20999839.77343707,boundary probe
S0,S0,Unchanged binary halving,3570000,38146,0.00038146,2099983977420000,20999839.77420000,boundary probe
S0,S0,Unchanged binary halving,3570001,38146,0.00038146,2099983977458146,20999839.77458146,boundary probe
S0,S0,Unchanged binary halving,3779999,38146,0.00038146,2099991988041854,20999919.88041854,boundary probe
S0,S0,Unchanged binary halving,3780000,19073,0.00019073,2099991988080000,20999919.88080000,boundary probe
S0,S0,Unchanged binary halving,3780001,19073,0.00019073,2099991988099073,20999919.88099073,boundary probe
S0,S0,Unchanged binary halving,3989999,19073,0.00019073,2099995993390927,20999959.93390927,boundary probe
S0,S0,Unchanged binary halving,3990000,9536,0.00009536,2099995993410000,20999959.93410000,boundary probe
S0,S0,Unchanged binary halving,3990001,9536,0.00009536,2099995993419536,20999959.93419536,boundary probe
S0,S0,Unchanged binary halving,4199999,9536,0.00009536,2099997995960464,20999979.95960464,boundary probe
S0,S0,Unchanged binary halving,4200000,4768,0.00004768,2099997995970000,20999979.95970000,boundary probe
S0,S0,Unchanged binary halving,4200001,4768,0.00004768,2099997995974768,20999979.95974768,boundary probe
S0,S0,Unchanged binary halving,4409999,4768,0.00004768,2099998997245232,20999989.97245232,boundary probe
S0,S0,Unchanged binary halving,4410000,2384,0.00002384,2099998997250000,20999989.97250000,boundary probe
S0,S0,Unchanged binary halving,4410001,2384,0.00002384,2099998997252384,20999989.97252384,boundary probe
S0,S0,Unchanged binary halving,4619999,2384,0.00002384,2099999497887616,20999994.97887616,boundary probe
S0,S0,Unchanged binary halving,4620000,1192,0.00001192,2099999497890000,20999994.97890000,boundary probe
S0,S0,Unchanged binary halving,4620001,1192,0.00001192,2099999497891192,20999994.97891192,boundary probe
S0,S0,Unchanged binary halving,4829999,1192,0.00001192,2099999748208808,20999997.48208808,boundary probe
S0,S0,Unchanged binary halving,4830000,596,0.00000596,2099999748210000,20999997.48210000,boundary probe
S0,S0,Unchanged binary halving,4830001,596,0.00000596,2099999748210596,20999997.48210596,boundary probe
S0,S0,Unchanged binary halving,5039999,596,0.00000596,2099999873369404,20999998.73369404,boundary probe
S0,S0,Unchanged binary halving,5040000,298,0.00000298,2099999873370000,20999998.73370000,boundary probe
S0,S0,Unchanged binary halving,5040001,298,0.00000298,2099999873370298,20999998.73370298,boundary probe
S0,S0,Unchanged binary halving,5249999,298,0.00000298,2099999935949702,20999999.35949702,boundary probe
S0,S0,Unchanged binary halving,5250000,149,0.00000149,2099999935950000,20999999.35950000,boundary probe
S0,S0,Unchanged binary halving,5250001,149,0.00000149,2099999935950149,20999999.35950149,boundary probe
S0,S0,Unchanged binary halving,5459999,149,0.00000149,2099999967239851,20999999.67239851,boundary probe
S0,S0,Unchanged binary halving,5460000,74,0.00000074,2099999967240000,20999999.67240000,boundary probe
S0,S0,Unchanged binary halving,5460001,74,0.00000074,2099999967240074,20999999.67240074,boundary probe
S0,S0,Unchanged binary halving,5669999,74,0.00000074,2099999982779926,20999999.82779926,boundary probe
S0,S0,Unchanged binary halving,5670000,37,0.00000037,2099999982780000,20999999.82780000,boundary probe
S0,S0,Unchanged binary halving,5670001,37,0.00000037,2099999982780037,20999999.82780037,boundary probe
S0,S0,Unchanged binary halving,5879999,37,0.00000037,2099999990549963,20999999.90549963,boundary probe
S0,S0,Unchanged binary halving,5880000,18,0.00000018,2099999990550000,20999999.90550000,boundary probe
S0,S0,Unchanged binary halving,5880001,18,0.00000018,2099999990550018,20999999.90550018,boundary probe
S0,S0,Unchanged binary halving,6089999,18,0.00000018,2099999994329982,20999999.94329982,boundary probe
S0,S0,Unchanged binary halving,6090000,9,0.00000009,2099999994330000,20999999.94330000,boundary probe
S0,S0,Unchanged binary halving,6090001,9,0.00000009,2099999994330009,20999999.94330009,boundary probe
S0,S0,Unchanged binary halving,6299999,9,0.00000009,2099999996219991,20999999.96219991,boundary probe
S0,S0,Unchanged binary halving,6300000,4,0.00000004,2099999996220000,20999999.96220000,boundary probe
S0,S0,Unchanged binary halving,6300001,4,0.00000004,2099999996220004,20999999.96220004,boundary probe
S0,S0,Unchanged binary halving,6509999,4,0.00000004,2099999997059996,20999999.97059996,boundary probe
S0,S0,Unchanged binary halving,6510000,2,0.00000002,2099999997060000,20999999.97060000,boundary probe
S0,S0,Unchanged binary halving,6510001,2,0.00000002,2099999997060002,20999999.97060002,boundary probe
S0,S0,Unchanged binary halving,6719999,2,0.00000002,2099999997479998,20999999.97479998,boundary probe
S0,S0,Unchanged binary halving,6720000,1,0.00000001,2099999997480000,20999999.97480000,boundary probe
S0,S0,Unchanged binary halving,6720001,1,0.00000001,2099999997480001,20999999.97480001,boundary probe
S0,S0,Unchanged binary halving,6929999,1,0.00000001,2099999997689999,20999999.97689999,boundary probe
S0,S0,Unchanged binary halving,6930000,0,0.00000000,2099999997690000,20999999.97690000,boundary probe
S0,S0,Unchanged binary halving,6930001,0,0.00000000,2099999997690000,20999999.97690000,boundary probe
S1,S1,1/20 reduction without a floor,0,5000000000,50.00000000,0,0.00000000,boundary probe
S1,S1,1/20 reduction without a floor,1,5000000000,50.00000000,5000000000,50.00000000,boundary probe
S1,S1,1/20 reduction without a floor,209999,5000000000,50.00000000,1049995000000000,10499950.00000000,boundary probe
S1,S1,1/20 reduction without a floor,210000,2500000000,25.00000000,1050000000000000,10500000.00000000,boundary probe
S1,S1,1/20 reduction without a floor,210001,2500000000,25.00000000,1050002500000000,10500025.00000000,boundary probe
S1,S1,1/20 reduction without a floor,419999,2500000000,25.00000000,1574997500000000,15749975.00000000,boundary probe
S1,S1,1/20 reduction without a floor,420000,1250000000,12.50000000,1575000000000000,15750000.00000000,boundary probe
S1,S1,1/20 reduction without a floor,420001,1250000000,12.50000000,1575001250000000,15750012.50000000,boundary probe
S1,S1,1/20 reduction without a floor,629999,1250000000,12.50000000,1837498750000000,18374987.50000000,boundary probe
S1,S1,1/20 reduction without a floor,630000,625000000,6.25000000,1837500000000000,18375000.00000000,boundary probe
S1,S1,1/20 reduction without a floor,630001,625000000,6.25000000,1837500625000000,18375006.25000000,boundary probe
S1,S1,1/20 reduction without a floor,839999,625000000,6.25000000,1968749375000000,19687493.75000000,boundary probe
S1,S1,1/20 reduction without a floor,840000,593750000,5.93750000,1968750000000000,19687500.00000000,boundary probe
S1,S1,1/20 reduction without a floor,840001,593750000,5.93750000,1968750593750000,19687505.93750000,boundary probe
S1,S1,1/20 reduction without a floor,1049999,593750000,5.93750000,2093436906250000,20934369.06250000,boundary probe
S1,S1,1/20 reduction without a floor,1050000,564062500,5.64062500,2093437500000000,20934375.00000000,boundary probe
S1,S1,1/20 reduction without a floor,1050001,564062500,5.64062500,2093438064062500,20934380.64062500,boundary probe
S1,S1,1/20 reduction without a floor,1259999,564062500,5.64062500,2211890060937500,22118900.60937500,boundary probe
S1,S1,1/20 reduction without a floor,1260000,535859375,5.35859375,2211890625000000,22118906.25000000,boundary probe
S1,S1,1/20 reduction without a floor,1260001,535859375,5.35859375,2211891160859375,22118911.60859375,boundary probe
S1,S1,1/20 reduction without a floor,1469999,535859375,5.35859375,2324420557890625,23244205.57890625,boundary probe
S1,S1,1/20 reduction without a floor,1470000,509066406,5.09066406,2324421093750000,23244210.93750000,boundary probe
S1,S1,1/20 reduction without a floor,1470001,509066406,5.09066406,2324421602816406,23244216.02816406,boundary probe
S1,S1,1/20 reduction without a floor,1679999,509066406,5.09066406,2431324529943594,24313245.29943594,boundary probe
S1,S1,1/20 reduction without a floor,1680000,483613085,4.83613085,2431325039010000,24313250.39010000,boundary probe
S1,S1,1/20 reduction without a floor,1680001,483613085,4.83613085,2431325522623085,24313255.22623085,boundary probe
S1,S1,1/20 reduction without a floor,1889999,483613085,4.83613085,2532883303246915,25328833.03246915,boundary probe
S1,S1,1/20 reduction without a floor,1890000,459432430,4.59432430,2532883786860000,25328837.86860000,boundary probe
S1,S1,1/20 reduction without a floor,1890001,459432430,4.59432430,2532884246292430,25328842.46292430,boundary probe
S1,S1,1/20 reduction without a floor,2099999,459432430,4.59432430,2629364137727570,26293641.37727570,boundary probe
S1,S1,1/20 reduction without a floor,2100000,436460808,4.36460808,2629364597160000,26293645.97160000,boundary probe
S1,S1,1/20 reduction without a floor,2100001,436460808,4.36460808,2629365033620808,26293650.33620808,boundary probe
S1,S1,1/20 reduction without a floor,2309999,436460808,4.36460808,2721020930379192,27210209.30379192,boundary probe
S1,S1,1/20 reduction without a floor,2310000,414637767,4.14637767,2721021366840000,27210213.66840000,boundary probe
S1,S1,1/20 reduction without a floor,2310001,414637767,4.14637767,2721021781477767,27210217.81477767,boundary probe
S1,S1,1/20 reduction without a floor,2519999,414637767,4.14637767,2808094883272233,28080948.83272233,boundary probe
S1,S1,1/20 reduction without a floor,2520000,393905878,3.93905878,2808095297910000,28080952.97910000,boundary probe
S1,S1,1/20 reduction without a floor,2520001,393905878,3.93905878,2808095691815878,28080956.91815878,boundary probe
S1,S1,1/20 reduction without a floor,2729999,393905878,3.93905878,2890815138384122,28908151.38384122,boundary probe
