metric,value,unit,calculation_method,evidence_class,source_url,retrieved_utc,evidence_status
Local-node block height,674074,blocks,getmininginfo,directly observed,http://127.0.0.1:9556/ JSON-RPC getmininginfo,2026-07-27T12:31:03Z,fully synced local node at snapshot time
Explorer block height,674074,blocks,explorer summary endpoint,directly observed,https://explorer.rincoin.tech/ext/getsummary,2026-07-27T12:30:56Z,independent tip cross-check
Maximum current block subsidy,6.25000000,RIN/block,getblockstats subsidy at frozen tip,consensus-deterministic and directly observed,http://127.0.0.1:9556/ JSON-RPC getblockheader/getblockstats,2026-07-27T12:31:03Z,maximum permitted subsidy; underclaiming not assessed here
Current difficulty,0.333779833148,difficulty,getmininginfo,directly observed,http://127.0.0.1:9556/ JSON-RPC getmininginfo,2026-07-27T12:31:03Z,point-in-time
Current network hashrate estimate,19.70723840,MH/s,getmininginfo networkhashps,directly observed node estimate,http://127.0.0.1:9556/ JSON-RPC getmininginfo,2026-07-27T12:31:03Z,point-in-time estimate
Explorer RIN price,0.000537652849,USD/RIN,explorer current-price endpoint,directly observed aggregate,https://explorer.rincoin.tech/ext/getcurrentprice,2026-07-27T12:30:57Z,venue composition not asserted
NestEx RIN price,0.000656840000,USDT/RIN,RIN_USDT ticker last price,directly observed venue quote,https://trade.nestex.one/api/cg/tickers/RIN_USDT,2026-07-27T12:30:58Z,"marginal trade price, not realizable depth"
Target blocks per day,1440.00,blocks/day,"86,400 seconds / 60-second consensus target",consensus-deterministic,http://127.0.0.1:9556/ JSON-RPC getblockheader/getblockstats,2026-07-27T12:31:03Z,"target, not observed production"
Scheduled daily issuance,9000.00000000,RIN/day,tip subsidy x target blocks/day,derived consensus-deterministic,http://127.0.0.1:9556/ JSON-RPC getblockheader/getblockstats,2026-07-27T12:31:03Z,maximum scheduled value
Scheduled daily issuance at explorer price,4.83887564,USD/day,scheduled RIN/day x frozen explorer marginal price,derived from observed data,https://explorer.rincoin.tech/ext/getsummary,2026-07-27T12:30:56Z,not realizable proceeds
Scheduled daily issuance at NestEx price,5.91156000,USDT/day,scheduled RIN/day x frozen NestEx marginal price,derived from observed data,https://trade.nestex.one/api/cg/tickers/RIN_USDT,2026-07-27T12:30:58Z,not realizable proceeds
Observed non-coinbase transactions (90 d),6362,transactions,exact count from local getblockstats history,derived from observed data,http://127.0.0.1:9556/ JSON-RPC getblockstats/getblockheader; 365-day window,2026-07-27T12:37:38Z,complete frozen window
Mean total fees per block (90 d),0.00010003,RIN/block,sum of getblockstats totalfee / all blocks,derived from observed data,http://127.0.0.1:9556/ JSON-RPC getblockstats/getblockheader; 365-day window,2026-07-27T12:37:38Z,includes zero-fee blocks
Median total fees per block (90 d),0.00000000,RIN/block,median getblockstats totalfee across all blocks,derived from observed data,http://127.0.0.1:9556/ JSON-RPC getblockstats/getblockheader; 365-day window,2026-07-27T12:37:38Z,zero because most blocks had no non-coinbase transaction
Fee share of miner revenue (90 d),0.00097646,%,sum(totalfee) / [sum(subsidy) + sum(totalfee)],derived from observed data,http://127.0.0.1:9556/ JSON-RPC getblockstats/getblockheader; 365-day window,2026-07-27T12:37:38Z,uses total fees per block
Explorer-indexed orphaned blocks (90 d),29,blocks,count of getlastorphans records within the frozen window,directly observed explorer index,Derived frozen set from paginated https://explorer.rincoin.tech/ext/getlastorphans/0/start/100,2026-07-27T13:07:36Z,endpoint exhausted below one page; explorer index retention and pre-index history not independently verified
Explorer-indexed orphan incidence (90 d),0.023748,%,indexed orphans / (main-chain blocks + indexed orphans),derived from observed explorer index and local chain data,Derived frozen set from paginated https://explorer.rincoin.tech/ext/getlastorphans/0/start/100,2026-07-27T13:07:36Z,"index-based incidence, not independently reconstructed from raw peer data"
Visible RinHash rental capacity,10.346300,MH/s,sum of available API-online advertised listings,directly observed asks,https://www.miningrigrentals.com/api/v2/rig?type=rinhash&currency=BTC&limit=100,2026-07-27T12:30:57Z,delivery unverified
Visible rental capacity / current node hashrate,52.50,%,advertised rental MH/s / current networkhashps estimate,derived from observed data,https://www.miningrigrentals.com/api/v2/rig?type=rinhash&currency=BTC&limit=100,2026-07-27T12:30:57Z,point-in-time ratio
Weighted visible rental ask,0.000034110864,BTC/MH/day,capacity-weighted quoted asks,derived from directly observed asks,https://www.miningrigrentals.com/api/v2/rig?type=rinhash&currency=BTC&limit=100,2026-07-27T12:30:57Z,not an executed or market-clearing price
NestEx bid depth within 5%,18440.91901400,RIN,sum of frozen bids no more than 5% below best bid,derived from observed order book,https://trade.nestex.one/api/cg/orderbook/RIN_USDT?depth=0,2026-07-27T12:30:59Z,point-in-time visible depth
