scenario_id,scenario_display_id,activation_subsidy_rin,observed_90d_mean_fee_rin_per_block,activation_block_revenue_rin_at_observed_fee,activation_block_revenue_usdt_at_snapshot_marginal_price,activation_nominal_revenue_shock_pct,normalized_10y_revenue_index,observed_baseline_interpretation,evidence_class
S0,S0,3.12500000,0.00010003,3.12510003,0.00205269,-50.00000000,47.36076480,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S1,S1,5.93750000,0.00010003,5.93760003,0.00390005,-5.00000000,779144.45363280,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S2a,S2/a,5.93750000,0.00010003,5.93760003,0.00390005,-5.00000000,779144.45363280,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S2b,S2/b,5.93750000,0.00010003,5.93760003,0.00390005,-5.00000000,779144.45363280,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S3,S3,5.93750000,0.00010003,5.93760003,0.00390005,-5.00000000,779144.45363280,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S4,S4,6.19517543,0.00010003,6.19527546,0.00406930,-0.87719312,2351256.50739600,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S5a,S5/a,3.12500000,0.00010003,3.12510003,0.00205269,-50.00000000,369609.81819120,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S5B,S5/b,6.25000000,0.00010003,6.25010003,0.00410532,0.00000000,739172.31819120,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S6a,S6/a,4.00000000,0.00010003,4.00010003,0.00262743,-36.00000000,473087.31819120,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S6B,S6/b,4.00000000,0.00010003,4.00010003,0.00262743,-36.00000000,473087.31819120,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S6c,S6/c,4.00000000,0.00010003,4.00010003,0.00262743,-36.00000000,473087.31819120,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
S7,S7,4.00000000,0.00010003,4.00010003,0.00262743,-36.00000000,473087.31819120,Snapshot price and 90-day mean fee held constant; not an activation forecast.,deterministic subsidy plus derived observed fee and directly observed marginal price; normalized column remains sensitivity-only
