scenario_id,scenario_display_id,boundary_height,boundary_type,subsidy_before_rin,subsidy_after_rin,required_additional_fee_rin_per_block,observed_window_days,observed_mean_total_fee_base_units_per_block,observed_median_total_fee_base_units_per_block,required_multiple_of_observed_mean_fee,required_multiple_of_observed_median_fee,median_fee_zero,observed_median_fee_per_non_coinbase_transaction_base_units,required_transactions_at_observed_median_transaction_fee,fee_share_before_boundary_pct,fee_share_after_boundary_with_observed_fees_pct,fee_share_after_boundary_if_revenue_fully_replaced_pct,evidence_class
S0,S0,840000,activation,6.25000000,3.12500000,3.12500000,90,10002.5482,0.0000,31242.0388,,true,99999.0000,3126,0.00160038,0.00320071,50.00080019,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,1050000,scheduled subsidy boundary,3.12500000,1.56250000,1.56250000,90,10002.5482,0.0000,15621.0194,,true,99999.0000,1563,0.00320071,0.00640122,50.00160036,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,1260000,scheduled subsidy boundary,1.56250000,0.78125000,0.78125000,90,10002.5482,0.0000,7810.5097,,true,99999.0000,782,0.00640122,0.01280162,50.00320061,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,1470000,scheduled subsidy boundary,0.78125000,0.39062500,0.39062500,90,10002.5482,0.0000,3905.2548,,true,99999.0000,391,0.01280162,0.02559997,50.00640081,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,1680000,scheduled subsidy boundary,0.39062500,0.19531250,0.19531250,90,10002.5482,0.0000,1952.6274,,true,99999.0000,196,0.02559997,0.05118683,50.01279998,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,1890000,scheduled subsidy boundary,0.19531250,0.09765625,0.09765625,90,10002.5482,0.0000,976.3137,,true,99999.0000,98,0.05118683,0.10232129,50.02559342,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,2100000,scheduled subsidy boundary,0.09765625,0.04882812,0.04882813,90,10002.5482,0.0000,488.1569,,true,99999.0000,49,0.10232129,0.20443342,50.05116576,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,2310000,scheduled subsidy boundary,0.04882812,0.02441406,0.02441406,90,10002.5482,0.0000,244.0784,,true,99999.0000,25,0.20443342,0.40803269,50.10221671,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,2520000,scheduled subsidy boundary,0.02441406,0.01220703,0.01220703,90,10002.5482,0.0000,122.0392,,true,99999.0000,13,0.40803269,0.81274910,50.20401634,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,2730000,scheduled subsidy boundary,0.01220703,0.00610351,0.00610352,90,10002.5482,0.0000,61.0197,,true,99999.0000,7,0.81274910,1.61239478,50.40641518,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,2940000,scheduled subsidy boundary,0.00610351,0.00305175,0.00305176,90,10002.5482,0.0000,30.5098,,true,99999.0000,4,1.61239478,3.17362334,50.80627799,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,3150000,scheduled subsidy boundary,0.00305175,0.00152587,0.00152588,90,10002.5482,0.0000,15.2549,,true,99999.0000,2,3.17362334,6.15202413,51.58697031,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,3360000,scheduled subsidy boundary,0.00152587,0.00076293,0.00076294,90,10002.5482,0.0000,7.6275,,true,99999.0000,1,6.15202413,11.59103620,53.07631959,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,3570000,scheduled subsidy boundary,0.00076293,0.00038146,0.00038147,90,10002.5482,0.0000,3.8137,,true,99999.0000,1,11.59103620,20.77435064,55.79609751,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,3780000,scheduled subsidy boundary,0.00038146,0.00019073,0.00019073,90,10002.5482,0.0000,1.9068,,true,99999.0000,1,20.77435064,34.40192479,60.38717532,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,3990000,scheduled subsidy boundary,0.00019073,0.00009536,0.00009537,90,10002.5482,0.0000,0.9535,,true,99999.0000,1,34.40192479,51.19391736,67.20268205,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,4200000,scheduled subsidy boundary,0.00009536,0.00004768,0.00004768,90,10002.5482,0.0000,0.4767,,true,99999.0000,1,51.19391736,67.71954620,75.59695868,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,4410000,scheduled subsidy boundary,0.00004768,0.00002384,0.00002384,90,10002.5482,0.0000,0.2383,,true,99999.0000,1,67.71954620,80.75331437,83.85977310,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,4620000,scheduled subsidy boundary,0.00002384,0.00001192,0.00001192,90,10002.5482,0.0000,0.1192,,true,99999.0000,1,80.75331437,89.35195977,90.37665718,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S0,S0,4830000,scheduled subsidy boundary,0.00001192,0.00000596,0.00000596,90,10002.5482,0.0000,0.0596,,true,99999.0000,1,89.35195977,94.37658832,94.67597988,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
