scenario_id,scenario_display_id,boundary_height,subsidy_before_rin,subsidy_after_rin,required_additional_fee_base_units_per_block,required_additional_fee_rin_per_block,interpretation
S0,S0,840000,6.25000000,3.12500000,312500000,3.12500000,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,1050000,3.12500000,1.56250000,156250000,1.56250000,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,1260000,1.56250000,0.78125000,78125000,0.78125000,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,1470000,0.78125000,0.39062500,39062500,0.39062500,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,1680000,0.39062500,0.19531250,19531250,0.19531250,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,1890000,0.19531250,0.09765625,9765625,0.09765625,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,2100000,0.09765625,0.04882812,4882813,0.04882813,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,2310000,0.04882812,0.02441406,2441406,0.02441406,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,2520000,0.02441406,0.01220703,1220703,0.01220703,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,2730000,0.01220703,0.00610351,610352,0.00610352,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,2940000,0.00610351,0.00305175,305176,0.00305176,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,3150000,0.00305175,0.00152587,152588,0.00152588,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,3360000,0.00152587,0.00076293,76294,0.00076294,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,3570000,0.00076293,0.00038146,38147,0.00038147,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,3780000,0.00038146,0.00019073,19073,0.00019073,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,3990000,0.00019073,0.00009536,9537,0.00009537,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,4200000,0.00009536,0.00004768,4768,0.00004768,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,4410000,0.00004768,0.00002384,2384,0.00002384,fee increase needed to hold nominal RIN/block revenue unchanged
S0,S0,4620000,0.00002384,0.00001192,1192,0.00001192,fee increase needed to hold nominal RIN/block revenue unchanged
