halving_height,event_date_utc,window_days,pre_date,post_date,rin_usd_pre_to_event_return_pct,rin_usd_event_to_post_return_pct,rin_usd_pre_to_post_return_pct,rin_btc_pre_to_event_return_pct,rin_btc_event_to_post_return_pct,rin_btc_pre_to_post_return_pct,pre_reported_volume_24h_usd,event_reported_volume_24h_usd,post_reported_volume_24h_usd,pre_nestex_executed_trade_count_if_covered,event_nestex_executed_trade_count_if_covered,post_nestex_executed_trade_count_if_covered,historical_bid_ask_spread,historical_orderbook_depth,event_days_since_last_reported_volume_at_least_100_usd,displayed_price_may_be_stale,required_price_multiplier,required_price_growth_pct,market_data_confidence,confidence_reason,interpolation_used,evidence_class
210000,2025-08-20,1,2025-08-19,2025-08-21,-3.84615385,0.14285714,-3.70879121,-3.03983975,0.53491610,-2.52118424,27.00000000,16.00000000,8.00000000,,,,unavailable,unavailable,,true,2.00000000,100.00000000,low,reported volume is thin and historical spread/depth is unavailable,false,derived from frozen observed daily ticks
210000,2025-08-20,7,2025-08-13,2025-08-27,-4.10958904,-8.71428571,-12.46575342,1.76240702,-6.90331566,-5.26257316,8.00000000,16.00000000,2.00000000,,,,unavailable,unavailable,,true,2.00000000,100.00000000,low,reported volume is thin and historical spread/depth is unavailable,false,derived from frozen observed daily ticks
210000,2025-08-20,30,2025-07-21,2025-09-19,,188.85714286,,,182.32191664,,,16.00000000,54.00000000,,,,unavailable,unavailable,,true,2.00000000,100.00000000,unusable,one or more event-window anchor prices are missing,false,derived from frozen observed daily ticks
210000,2025-08-20,90,2025-05-22,2025-11-18,,9.85714286,,,36.11771623,,,16.00000000,9.00000000,,,,unavailable,unavailable,,true,2.00000000,100.00000000,unusable,one or more event-window anchor prices are missing,false,derived from frozen observed daily ticks
420000,2026-01-21,1,2026-01-20,2026-01-22,-9.32358318,4.23387097,-5.48446069,-7.69047046,3.71326282,-4.26277502,42.00000000,41.00000000,52.00000000,,,,unavailable,unavailable,2,true,2.00000000,100.00000000,low,reported volume is thin and historical spread/depth is unavailable,false,derived from frozen observed daily ticks
420000,2026-01-21,7,2026-01-14,2026-01-28,,-4.63709677,,,-4.74263150,,,41.00000000,27.00000000,,,,unavailable,unavailable,2,true,2.00000000,100.00000000,unusable,one or more event-window anchor prices are missing,false,derived from frozen observed daily ticks
420000,2026-01-21,30,2025-12-22,2026-02-20,,-0.40322581,,,31.50480506,,,41.00000000,36.00000000,,,,unavailable,unavailable,2,true,2.00000000,100.00000000,unusable,one or more event-window anchor prices are missing,false,derived from frozen observed daily ticks
420000,2026-01-21,90,2025-10-23,2026-04-21,-44.39461883,-43.54838710,-68.60986547,-31.80100030,-33.64948634,-54.74961339,15.00000000,41.00000000,13.00000000,,,,unavailable,unavailable,2,true,2.00000000,100.00000000,low,reported volume is thin and historical spread/depth is unavailable,false,derived from frozen observed daily ticks
630000,2026-06-24,1,2026-06-23,2026-06-25,26.73469388,20.45088567,52.65306122,29.02062037,22.88226755,58.54346391,36.00000000,100.00000000,174.00000000,25,64,33,unavailable,unavailable,0,false,2.00000000,100.00000000,low,reported volume is thin and historical spread/depth is unavailable,false,derived from frozen observed daily ticks
630000,2026-06-24,7,2026-06-17,2026-07-01,33.54838710,10.62801932,47.74193548,41.12086862,15.08758700,62.41260245,34.00000000,100.00000000,42.00000000,,64,29,unavailable,unavailable,0,false,2.00000000,100.00000000,low,reported volume is thin and historical spread/depth is unavailable,false,derived from frozen observed daily ticks
630000,2026-06-24,30,2026-05-25,2026-07-24,135.22727273,8.37359098,154.92424242,194.77110828,3.39796299,204.78732143,18.00000000,100.00000000,40.00000000,,64,769,unavailable,unavailable,0,false,2.00000000,100.00000000,low,reported volume is thin and historical spread/depth is unavailable,false,derived from frozen observed daily ticks
630000,2026-06-24,90,2026-03-26,2026-09-22,102.94117647,,,129.12042354,,,19.00000000,100.00000000,,,64,,unavailable,unavailable,0,false,2.00000000,100.00000000,unusable,one or more event-window anchor prices are missing,false,derived from frozen observed daily ticks
