scenario_id,scenario_display_id,scenario_name,horizon_label,horizon_years_after_activation,height,subsidy_base_units,subsidy_rin_display,next_year_issuance_base_units,next_year_issuance_rin_display,next_year_issuance_pct_of_scheduled_supply,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,remaining_scheduled_issuance_base_units,remaining_scheduled_issuance_rin_display,maximum_supply_ceiling_remaining_base_units,maximum_supply_ceiling_remaining_rin_display
S0,S0,Unchanged binary halving,activation,0.00000000,840000,312500000,3.12500000,106687500000000,1066875.00000000,5.41904762,1968750000000000,19687500.00000000,131249997690000,1312499.97690000,14831250000000000,148312500.00000000
S0,S0,Unchanged binary halving,1 year,1.00000000,1365600,78125000,0.78125000,20472656250000,204726.56250000,0.98642605,2075437500000000,20754375.00000000,24562497690000,245624.97690000,14724562500000000,147245625.00000000
S0,S0,Unchanged binary halving,2 years,2.00000000,1891200,9765625,0.09765625,3325195180800,33251.95180800,0.15865161,2095910156250000,20959101.56250000,4089841440000,40898.41440000,14704089843750000,147040898.43750000
S0,S0,Unchanged binary halving,5 years,5.00000000,3468000,76293,0.00076293,19832205600,198.32205600,0.00094440,2099976195534000,20999761.95534000,23802156000,238.02156000,14700023804466000,147000238.04466000
S0,S0,Unchanged binary halving,10 years,10.00000000,6096000,9,0.00000009,2899200,0.02899200,0.00000014,2099999994384000,20999999.94384000,3306000,0.03306000,14700000005616000,147000000.05616000
S0,S0,Unchanged binary halving,25 years,25.00000000,13980000,0,0.00000000,0,0.00000000,0.00000000,2099999997690000,20999999.97690000,0,0.00000000,14700000002310000,147000000.02310000
S0,S0,Unchanged binary halving,50 years,50.00000000,27120000,0,0.00000000,0,0.00000000,0.00000000,2099999997690000,20999999.97690000,0,0.00000000,14700000002310000,147000000.02310000
S0,S0,Unchanged binary halving,100 years,100.00000000,53400000,0,0.00000000,0,0.00000000,0.00000000,2099999997690000,20999999.97690000,0,0.00000000,14700000002310000,147000000.02310000
S0,S0,Unchanged binary halving,200 years,200.00000000,105960000,0,0.00000000,0,0.00000000,0.00000000,2099999997690000,20999999.97690000,0,0.00000000,14700000002310000,147000000.02310000
S0,S0,Unchanged binary halving,250 years,250.00000000,132240000,0,0.00000000,0,0.00000000,0.00000000,2099999997690000,20999999.97690000,0,0.00000000,14700000002310000,147000000.02310000
S0,S0,Unchanged binary halving,500 years,500.00000000,263640000,0,0.00000000,0,0.00000000,0.00000000,2099999997690000,20999999.97690000,0,0.00000000,14700000002310000,147000000.02310000
S0,S0,Unchanged binary halving,terminal height,11.58675799,6930000,0,0.00000000,0,0.00000000,0.00000000,2099999997690000,20999999.97690000,0,0.00000000,14700000002310000,147000000.02310000
S1,S1,1/20 reduction without a floor,activation,0.00000000,840000,593750000,5.93750000,299727375000000,2997273.75000000,15.22424762,1968750000000000,19687500.00000000,2493749301750000,24937493.01750000,14831250000000000,148312500.00000000
S1,S1,1/20 reduction without a floor,1 year,1.00000000,1365600,535859375,5.35859375,264957730776000,2649577.30776000,11.67998119,2268477375000000,22684773.75000000,2194021926750000,21940219.26750000,14531522625000000,145315226.25000000
S1,S1,1/20 reduction without a floor,2 years,2.00000000,1891200,459432430,4.59432430,231869574579600,2318695.74579600,9.15237868,2533435105776000,25334351.05776000,1929064195974000,19290641.95974000,14266564894224000,142665648.94224000
S1,S1,1/20 reduction without a floor,5 years,5.00000000,3468000,320838798,3.20838798,158530155716400,1585301.55716400,5.03329838,3149627617164000,31496276.17164000,1312871684586000,13128716.84586000,13650372382836000,136503723.82836000
S1,S1,1/20 reduction without a floor,10 years,10.00000000,6096000,164700054,1.64700054,83044896382800,830448.96382800,2.20176157,3771747934674000,37717479.34674000,690751367076000,6907513.67076000,13028252065326000,130282520.65326000
S1,S1,1/20 reduction without a floor,25 years,25.00000000,13980000,24686925,0.24686925,12155842755600,121558.42755600,0.27869013,4361777232810000,43617772.32810000,100722068940000,1007220.68940000,12438222767190000,124382227.67190000
S1,S1,1/20 reduction without a floor,50 years,50.00000000,27120000,975101,0.00975101,489382291200,4893.82291200,0.01097655,4458433586910000,44584335.86910000,4065714840000,40657.14840000,12341566413090000,123415664.13090000
