date_utc,executed_trade_count,executed_volume_rin,executed_volume_usdt,first_trade_utc,last_trade_utc,source,evidence_class
2026-06-20,14,4935.92861200,2.39877756,2026-06-20T09:12:42Z,2026-06-20T23:42:39Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-21,23,13977.81730500,6.75584442,2026-06-21T00:12:50Z,2026-06-21T23:37:02Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-22,28,18042.04703100,8.79606396,2026-06-22T00:10:10Z,2026-06-22T22:54:10Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-23,25,19040.20811500,9.33533673,2026-06-23T00:17:48Z,2026-06-23T23:32:43Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-24,64,260719.16848800,178.63429298,2026-06-24T00:53:02Z,2026-06-24T22:54:34Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-25,33,52023.43883400,38.03363238,2026-06-25T00:34:51Z,2026-06-25T22:46:41Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-26,24,9626.54650000,6.65061591,2026-06-26T00:31:15Z,2026-06-26T23:13:19Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-27,20,4729.50385900,3.28660624,2026-06-27T01:06:25Z,2026-06-27T22:58:29Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-28,27,9576.65359700,6.60365690,2026-06-28T00:32:10Z,2026-06-28T22:30:16Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-29,14,7269.29528300,4.99661783,2026-06-29T00:11:24Z,2026-06-29T17:54:33Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-06-30,29,9226.60217500,6.37331190,2026-06-30T01:42:21Z,2026-06-30T23:11:41Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-01,29,12837.16296100,8.84758019,2026-07-01T00:35:06Z,2026-07-01T23:23:30Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-02,22,9220.61298800,6.36736582,2026-07-02T01:05:17Z,2026-07-02T22:27:39Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-03,24,6760.01274400,4.67647143,2026-07-03T00:01:48Z,2026-07-03T23:37:57Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-04,15,6943.69267800,4.77162690,2026-07-04T00:01:18Z,2026-07-04T22:30:46Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-05,24,15092.49726600,10.51599522,2026-07-05T00:25:46Z,2026-07-05T23:52:53Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-06,21,9304.29500800,6.50234685,2026-07-06T01:42:54Z,2026-07-06T23:51:07Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-07,26,14799.74486200,10.38055504,2026-07-07T00:58:05Z,2026-07-07T23:48:26Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-08,25,9815.77829300,7.00688704,2026-07-08T00:09:29Z,2026-07-08T22:47:29Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-09,23,14002.15904900,9.96008823,2026-07-09T00:09:45Z,2026-07-09T23:47:31Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-10,26,13689.55302500,9.85467667,2026-07-10T00:10:02Z,2026-07-10T23:15:12Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-11,22,12296.62611700,8.99700186,2026-07-11T00:07:15Z,2026-07-11T23:57:14Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-12,25,13874.13261900,10.27625341,2026-07-12T01:48:03Z,2026-07-12T23:46:26Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-13,22,8269.28520800,6.20912279,2026-07-13T01:05:21Z,2026-07-13T23:42:14Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-14,23,12837.47334600,9.67829987,2026-07-14T00:32:48Z,2026-07-14T23:39:52Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-15,33,33352.22541100,24.51785909,2026-07-15T00:02:39Z,2026-07-15T23:13:23Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-16,26,11005.59675200,7.64001782,2026-07-16T00:07:47Z,2026-07-16T23:21:08Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-17,19,5443.70940000,3.78530495,2026-07-17T00:45:33Z,2026-07-17T20:32:02Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-18,23,6281.65438000,4.38749496,2026-07-18T18:49:24Z,2026-07-18T23:43:31Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-19,22,9600.40108800,6.76165845,2026-07-19T00:54:06Z,2026-07-19T22:31:45Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-20,261,22135.76496300,15.54134658,2026-07-20T00:13:29Z,2026-07-20T23:54:33Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-21,760,86920.63783600,58.61490232,2026-07-21T00:00:34Z,2026-07-21T23:58:33Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-22,721,84940.11326400,56.52801554,2026-07-22T00:00:31Z,2026-07-22T23:52:32Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-23,728,57055.09724400,39.41979954,2026-07-23T00:01:33Z,2026-07-23T23:59:33Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
2026-07-24,769,62329.05683800,42.00478584,2026-07-24T00:00:32Z,2026-07-24T23:59:31Z,"NestEx public paginated tradebook, pages 1-60",directly observed from a frozen public source
