block_index,block_hash,previous_block_hash,reorg_depth,transaction_count,amount_rin,timestamp_unix,timestamp_utc,evidence_class
673816,00000001033e1daa80ff9a4ac2a7653cadec9f3b481e4698eade58cb7a7cdd0a,000000012cf0bae19acb17bd31cc3f001cfb4c33aec6ea896d4dd90139e74ba4,1,1,6.25,1785138904,2026-07-27T07:55:04Z,directly observed explorer orphan index
667019,000000025128178a57fff2ba58bbba5b659b2c96ae05c8395835e11444505a87,00000004787417d3a0391713bf3f4b7903798930b2d396e51f554059a50509e8,1,1,6.25,1784690813,2026-07-22T03:26:53Z,directly observed explorer orphan index
664321,00000003543e8103927772732bef34a785df9a397d90219049501df2c481f0ae,000000045c32615d33f91bcb611e40a34463edcf23c59be4f85fbfaa55360c62,1,1,6.25,1784517791,2026-07-20T03:23:11Z,directly observed explorer orphan index
660252,000000009cecf02ccbb9bfdbc6b0908bcefabb70f5736bec22d0ef0035a11f5a,000000005b165bca4ced3838e8c3c025b2f19ce56f4810ac15874f67651dde38,1,1,6.25,1784259139,2026-07-17T03:32:19Z,directly observed explorer orphan index
658028,00000000fbcad7e45be90bb3a338c960c39da1b41359abaa684082a9863bc9e8,000000005a4d22c2b9a71d82307aba0e65718e412bffb9fa20f8740afd20e6db,1,1,6.25,1784117578,2026-07-15T12:12:58Z,directly observed explorer orphan index
651061,00000002fa4b5d7dd9df39ae0df2f3031a01dd763ee50ca269af8a2b6498cf65,0000000152c08607deb24866cda3339a5343e7cab5de015121a8a374cf635a10,1,1,6.25,1783675073,2026-07-10T09:17:53Z,directly observed explorer orphan index
649848,000000021c2c0c32d7089faad0ea72ee2a5fb0aea76ee577b649c8978ca19740,0000000216d33048052a50492409e369aaa74df1051f1754cada541e05bcf41f,1,1,6.25,1783597895,2026-07-09T11:51:35Z,directly observed explorer orphan index
648649,000000033465096195d7d6572cf534a22aad82d50d0288535069beacb82d77c5,00000002612add56025e4cde42183a42dcb9749fe80c5f3533e388a3575397a1,1,1,6.25,1783521964,2026-07-08T14:46:04Z,directly observed explorer orphan index
647656,00000003d06b6ec8d3805faaf039d37e812a77bd8f06dbc1af9f332638b74029,00000004b9adfa9dd04284582a82be45d34cbedd28b94902b93b4470911735d7,1,1,6.25,1783459431,2026-07-07T21:23:51Z,directly observed explorer orphan index
646564,00000000be204964c3f3f8f3028bd7a7c3842750059cdbaf98afea781028b73a,000000003d5d8ab4da4a1202d2d3731c58271410ad40611b00732befe506cd60,1,1,6.25,1783389405,2026-07-07T01:56:45Z,directly observed explorer orphan index
