scenario_id,scenario_display_id,scenario_name,boundary_height,boundary_type,old_subsidy_rin,new_subsidy_rin,required_price_multiplier,required_price_growth_pct,interpretation,evidence_class
S0,S0,Unchanged binary halving,840000,activation,6.25000000,3.12500000,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,1050000,scheduled subsidy boundary,3.12500000,1.56250000,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,1260000,scheduled subsidy boundary,1.56250000,0.78125000,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,1470000,scheduled subsidy boundary,0.78125000,0.39062500,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,1680000,scheduled subsidy boundary,0.39062500,0.19531250,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,1890000,scheduled subsidy boundary,0.19531250,0.09765625,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,2100000,scheduled subsidy boundary,0.09765625,0.04882812,2.00000020,100.00002048,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,2310000,scheduled subsidy boundary,0.04882812,0.02441406,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,2520000,scheduled subsidy boundary,0.02441406,0.01220703,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,2730000,scheduled subsidy boundary,0.01220703,0.00610351,2.00000164,100.00016384,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,2940000,scheduled subsidy boundary,0.00610351,0.00305175,2.00000328,100.00032768,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,3150000,scheduled subsidy boundary,0.00305175,0.00152587,2.00000655,100.00065536,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,3360000,scheduled subsidy boundary,0.00152587,0.00076293,2.00001311,100.00131074,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,3570000,scheduled subsidy boundary,0.00076293,0.00038146,2.00002622,100.00262151,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,3780000,scheduled subsidy boundary,0.00038146,0.00019073,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,3990000,scheduled subsidy boundary,0.00019073,0.00009536,2.00010487,100.01048658,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,4200000,scheduled subsidy boundary,0.00009536,0.00004768,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,4410000,scheduled subsidy boundary,0.00004768,0.00002384,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,4620000,scheduled subsidy boundary,0.00002384,0.00001192,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,4830000,scheduled subsidy boundary,0.00001192,0.00000596,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,5040000,scheduled subsidy boundary,0.00000596,0.00000298,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,5250000,scheduled subsidy boundary,0.00000298,0.00000149,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,5460000,scheduled subsidy boundary,0.00000149,0.00000074,2.01351351,101.35135135,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,5670000,scheduled subsidy boundary,0.00000074,0.00000037,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,5880000,scheduled subsidy boundary,0.00000037,0.00000018,2.05555556,105.55555556,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,6090000,scheduled subsidy boundary,0.00000018,0.00000009,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,6300000,scheduled subsidy boundary,0.00000009,0.00000004,2.25000000,125.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,6510000,scheduled subsidy boundary,0.00000004,0.00000002,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S0,S0,Unchanged binary halving,6720000,scheduled subsidy boundary,0.00000002,0.00000001,2.00000000,100.00000000,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,840000,activation,6.25000000,5.93750000,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,1050000,scheduled subsidy boundary,5.93750000,5.64062500,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,1260000,scheduled subsidy boundary,5.64062500,5.35859375,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,1470000,scheduled subsidy boundary,5.35859375,5.09066406,1.05263158,5.26315795,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,1680000,scheduled subsidy boundary,5.09066406,4.83613085,1.05263158,5.26315805,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,1890000,scheduled subsidy boundary,4.83613085,4.59432430,1.05263158,5.26315807,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,2100000,scheduled subsidy boundary,4.59432430,4.36460808,1.05263158,5.26315802,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,2310000,scheduled subsidy boundary,4.36460808,4.14637767,1.05263158,5.26315805,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,2520000,scheduled subsidy boundary,4.14637767,3.93905878,1.05263158,5.26315807,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,2730000,scheduled subsidy boundary,3.93905878,3.74210584,1.05263158,5.26315792,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,2940000,scheduled subsidy boundary,3.74210584,3.55500054,1.05263158,5.26315813,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,3150000,scheduled subsidy boundary,3.55500054,3.37725051,1.05263158,5.26315799,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,3360000,scheduled subsidy boundary,3.37725051,3.20838798,1.05263158,5.26315804,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,3570000,scheduled subsidy boundary,3.20838798,3.04796858,1.05263158,5.26315793,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,3780000,scheduled subsidy boundary,3.04796858,2.89557015,1.05263158,5.26315793,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,3990000,scheduled subsidy boundary,2.89557015,2.75079164,1.05263158,5.26315799,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,4200000,scheduled subsidy boundary,2.75079164,2.61325205,1.05263158,5.26315822,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,4410000,scheduled subsidy boundary,2.61325205,2.48258944,1.05263158,5.26315821,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,4620000,scheduled subsidy boundary,2.48258944,2.35845996,1.05263158,5.26315825,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,4830000,scheduled subsidy boundary,2.35845996,2.24053696,1.05263158,5.26315799,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,5040000,scheduled subsidy boundary,2.24053696,2.12851011,1.05263158,5.26315799,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,5250000,scheduled subsidy boundary,2.12851011,2.02208460,1.05263158,5.26315813,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,5460000,scheduled subsidy boundary,2.02208460,1.92098037,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,5670000,scheduled subsidy boundary,1.92098037,1.82493135,1.05263158,5.26315798,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,5880000,scheduled subsidy boundary,1.82493135,1.73368478,1.05263158,5.26315805,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,6090000,scheduled subsidy boundary,1.73368478,1.64700054,1.05263158,5.26315796,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,6300000,scheduled subsidy boundary,1.64700054,1.56465051,1.05263158,5.26315810,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,6510000,scheduled subsidy boundary,1.56465051,1.48641798,1.05263158,5.26315821,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,6720000,scheduled subsidy boundary,1.48641798,1.41209708,1.05263158,5.26315797,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,6930000,scheduled subsidy boundary,1.41209708,1.34149222,1.05263158,5.26315837,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,7140000,scheduled subsidy boundary,1.34149222,1.27441760,1.05263159,5.26315864,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,7350000,scheduled subsidy boundary,1.27441760,1.21069672,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,7560000,scheduled subsidy boundary,1.21069672,1.15016188,1.05263158,5.26315826,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,7770000,scheduled subsidy boundary,1.15016188,1.09265378,1.05263158,5.26315847,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,7980000,scheduled subsidy boundary,1.09265378,1.03802109,1.05263158,5.26315800,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,8190000,scheduled subsidy boundary,1.03802109,0.98612003,1.05263158,5.26315848,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,8400000,scheduled subsidy boundary,0.98612003,0.93681402,1.05263159,5.26315885,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,8610000,scheduled subsidy boundary,0.93681402,0.88997331,1.05263159,5.26315896,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,8820000,scheduled subsidy boundary,0.88997331,0.84547464,1.05263158,5.26315845,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,9030000,scheduled subsidy boundary,0.84547464,0.80320090,1.05263159,5.26315894,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,9240000,scheduled subsidy boundary,0.80320090,0.76304085,1.05263159,5.26315858,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,9450000,scheduled subsidy boundary,0.76304085,0.72488880,1.05263159,5.26315898,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,9660000,scheduled subsidy boundary,0.72488880,0.68864436,1.05263158,5.26315789,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,9870000,scheduled subsidy boundary,0.68864436,0.65421214,1.05263158,5.26315822,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,10080000,scheduled subsidy boundary,0.65421214,0.62150153,1.05263158,5.26315840,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,10290000,scheduled subsidy boundary,0.62150153,0.59042645,1.05263159,5.26315852,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,10500000,scheduled subsidy boundary,0.59042645,0.56090512,1.05263159,5.26315930,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,10710000,scheduled subsidy boundary,0.56090512,0.53285986,1.05263159,5.26315868,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,10920000,scheduled subsidy boundary,0.53285986,0.50621686,1.05263159,5.26315935,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,11130000,scheduled subsidy boundary,0.50621686,0.48090601,1.05263159,5.26315943,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,11340000,scheduled subsidy boundary,0.48090601,0.45686070,1.05263160,5.26316008,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,11550000,scheduled subsidy boundary,0.45686070,0.43401766,1.05263159,5.26315911,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,11760000,scheduled subsidy boundary,0.43401766,0.41231677,1.05263160,5.26315968,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,11970000,scheduled subsidy boundary,0.41231677,0.39170093,1.05263158,5.26315830,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,12180000,scheduled subsidy boundary,0.39170093,0.37211588,1.05263159,5.26315888,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,12390000,scheduled subsidy boundary,0.37211588,0.35351008,1.05263160,5.26315968,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,12600000,scheduled subsidy boundary,0.35351008,0.33583457,1.05263160,5.26315978,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,12810000,scheduled subsidy boundary,0.33583457,0.31904284,1.05263158,5.26315839,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,13020000,scheduled subsidy boundary,0.31904284,0.30309069,1.05263161,5.26316067,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,13230000,scheduled subsidy boundary,0.30309069,0.28793615,1.05263160,5.26315991,price-only compensation; fees and miner costs held constant,consensus-deterministic
