honest_hashrate_reduction_stress_pct,honest_hashrate_mhps,configured_owned_hashrate_mhps,visible_rental_hashrate_mhps,rental_pct_pre_existing_honest_hashrate,rental_pct_combined_honest_plus_rental_hashrate,rental_plus_owned_hashrate_mhps,additional_hash_required_to_exceed_honest_mhps,visible_rental_capacity_alone_sufficient,rental_plus_owned_capacity_sufficient,analytical_horizon_blocks,greedy_selected_rigs,greedy_selected_rental_hashrate_mhps,visible_depth_sufficient_for_threshold,theoretical_prorated_threshold_cost_btc,actual_minimum_lease_threshold_cost_btc,actual_minimum_lease_threshold_cost_usd,evidence_class
0,19.707238,0.000000,10.346300,52.5000,34.4262,10.346300,9.360938,false,false,6,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,0.000000,10.346300,52.5000,34.4262,10.346300,9.360938,false,false,24,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,0.000000,10.346300,52.5000,34.4262,10.346300,9.360938,false,false,144,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,5.000000,10.346300,52.5000,34.4262,15.346300,4.360938,false,false,6,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,5.000000,10.346300,52.5000,34.4262,15.346300,4.360938,false,false,24,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,5.000000,10.346300,52.5000,34.4262,15.346300,4.360938,false,false,144,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,10.000000,10.346300,52.5000,34.4262,20.346300,0.000000,false,true,6,22,10.346300,true,0.000001470505,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,10.000000,10.346300,52.5000,34.4262,20.346300,0.000000,false,true,24,22,10.346300,true,0.000005882021,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
0,19.707238,10.000000,10.346300,52.5000,34.4262,20.346300,0.000000,false,true,144,22,10.346300,true,0.000035292123,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,0.000000,10.346300,58.3333,36.8421,10.346300,7.390215,false,false,6,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,0.000000,10.346300,58.3333,36.8421,10.346300,7.390215,false,false,24,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,0.000000,10.346300,58.3333,36.8421,10.346300,7.390215,false,false,144,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,5.000000,10.346300,58.3333,36.8421,15.346300,2.390215,false,false,6,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
