rank_by_ask,rig_id,advertised_hashrate_mhps,ask_btc_per_mh_day,cumulative_hashrate_mhps,cumulative_daily_cost_btc,cumulative_daily_cost_usd,cumulative_minimum_contract_cost_btc,cumulative_minimum_contract_cost_usd,cumulative_theoretical_6_block_cost_btc,cumulative_actual_minimum_6_block_cost_btc,cumulative_theoretical_24_block_cost_btc,cumulative_actual_minimum_24_block_cost_btc,cumulative_theoretical_144_block_cost_btc,cumulative_actual_minimum_144_block_cost_btc
1,353346,0.115000,0.000015140000,0.115000,0.000001741100,0.113085,0.000001741100,0.113085,0.000000007255,0.000001741100,0.000000029018,0.000001741100,0.000000174110,0.000001741100
2,353213,0.129000,0.000017910000,0.244000,0.000004051490,0.263145,0.000004051490,0.263145,0.000000016881,0.000004051490,0.000000067525,0.000004051490,0.000000405149,0.000004051490
3,353221,0.043000,0.000019530000,0.287000,0.000004891280,0.317689,0.000005066236,0.329053,0.000000020380,0.000005066236,0.000000081521,0.000005066236,0.000000489128,0.000005066236
4,352021,0.687500,0.000019770000,0.974500,0.000018483155,1.200483,0.000006765221,0.439402,0.000000077013,0.000006765221,0.000000308053,0.000006765221,0.000001848316,0.000006765221
5,353312,0.073000,0.000021210000,1.047500,0.000020031485,1.301047,0.000008313551,0.539966,0.000000083465,0.000008313551,0.000000333858,0.000008313551,0.000002003148,0.000008313551
6,353341,0.073900,0.000023800000,1.121400,0.000021790305,1.415282,0.000010072371,0.654201,0.000000090793,0.000010072371,0.000000363172,0.000010072371,0.000002179030,0.000010072371
7,368062,0.178000,0.000026110000,1.299400,0.000026437885,1.717143,0.000011234266,0.729667,0.000000110158,0.000011234266,0.000000440631,0.000011234266,0.000002643788,0.000011234266
8,366932,0.046900,0.000033900000,1.346300,0.000028027795,1.820408,0.000012824176,0.832931,0.000000116782,0.000012824176,0.000000467130,0.000012824176,0.000002802780,0.000012824176
9,351991,0.687500,0.000034190000,2.033800,0.000051533420,3.347101,0.000015762379,1.023768,0.000000214723,0.000015762379,0.000000858890,0.000015762379,0.000005153342,0.000015762379
10,351989,0.718750,0.000034960000,2.752550,0.000076660920,4.979134,0.000018903316,1.227772,0.000000319421,0.000018903316,0.000001277682,0.000018903316,0.000007666092,0.000018903316
11,351994,0.687500,0.000035120000,3.440050,0.000100805920,6.547355,0.000021921441,1.423800,0.000000420025,0.000021921441,0.000001680099,0.000021921441,0.000010080592,0.000021921441
12,351990,0.687500,0.000035560000,4.127550,0.000125253420,8.135222,0.000024977379,1.622283,0.000000521889,0.000024977379,0.000002087557,0.000024977379,0.000012525342,0.000024977379
13,351992,0.687500,0.000035880000,4.815050,0.000149920920,9.737379,0.000028060816,1.822553,0.000000624671,0.000028060816,0.000002498682,0.000028060816,0.000014992092,0.000028060816
14,351995,0.718750,0.000035930000,5.533800,0.000175745608,11.414695,0.000031288902,2.032217,0.000000732273,0.000031288902,0.000002929093,0.000031288902,0.000017574561,0.000031288902
15,352520,0.550000,0.000036360000,6.083800,0.000195743608,12.713567,0.000041287902,2.681653,0.000000815598,0.000041287902,0.000003262393,0.000041287902,0.000019574361,0.000041287902
16,352521,0.550000,0.000036360000,6.633800,0.000215741608,14.012439,0.000051286902,3.331089,0.000000898923,0.000051286902,0.000003595693,0.000051286902,0.000021574161,0.000051286902
17,352523,0.550000,0.000036360000,7.183800,0.000235739608,15.311311,0.000061285902,3.980525,0.000000982248,0.000061285902,0.000003928993,0.000061285902,0.000023573961,0.000061285902
18,352524,0.550000,0.000036360000,7.733800,0.000255737608,16.610183,0.000071284902,4.629962,0.000001065573,0.000071284902,0.000004262293,0.000071284902,0.000025573761,0.000071284902
19,357309,0.550000,0.000036360000,8.283800,0.000275735608,17.909055,0.000081283902,5.279398,0.000001148898,0.000081283902,0.000004595593,0.000081283902,0.000027573561,0.000081283902
20,351993,0.687500,0.000036930000,8.971300,0.000301124982,19.558098,0.000084457574,5.485528,0.000001254687,0.000084457574,0.000005018750,0.000084457574,0.000030112498,0.000084457574
21,351984,0.687500,0.000037130000,9.658800,0.000326651858,21.216071,0.000087648433,5.692775,0.000001361049,0.000087648433,0.000005444198,0.000087648433,0.000032665186,0.000087648433
22,351985,0.687500,0.000038210000,10.346300,0.000352921232,22.922269,0.000090932105,5.906049,0.000001470505,0.000090932105,0.000005882021,0.000090932105,0.000035292123,0.000090932105
