scenario_id,scenario_display_id,scenario_name,boundary_height,subsidy_before_base_units,subsidy_after_base_units,subsidy_before_rin,subsidy_after_rin,nominal_change_base_units,nominal_revenue_shock_pct,fee_replacement_base_units_per_block,fee_replacement_rin_per_block,boundary_type
S0,S0,Unchanged binary halving,840000,625000000,312500000,6.25000000,3.12500000,-312500000,-50.00000000,312500000,3.12500000,activation
S0,S0,Unchanged binary halving,1050000,312500000,156250000,3.12500000,1.56250000,-156250000,-50.00000000,156250000,1.56250000,scheduled subsidy boundary
S0,S0,Unchanged binary halving,1260000,156250000,78125000,1.56250000,0.78125000,-78125000,-50.00000000,78125000,0.78125000,scheduled subsidy boundary
S0,S0,Unchanged binary halving,1470000,78125000,39062500,0.78125000,0.39062500,-39062500,-50.00000000,39062500,0.39062500,scheduled subsidy boundary
S0,S0,Unchanged binary halving,1680000,39062500,19531250,0.39062500,0.19531250,-19531250,-50.00000000,19531250,0.19531250,scheduled subsidy boundary
S0,S0,Unchanged binary halving,1890000,19531250,9765625,0.19531250,0.09765625,-9765625,-50.00000000,9765625,0.09765625,scheduled subsidy boundary
S0,S0,Unchanged binary halving,2100000,9765625,4882812,0.09765625,0.04882812,-4882813,-50.00000512,4882813,0.04882813,scheduled subsidy boundary
S0,S0,Unchanged binary halving,2310000,4882812,2441406,0.04882812,0.02441406,-2441406,-50.00000000,2441406,0.02441406,scheduled subsidy boundary
S0,S0,Unchanged binary halving,2520000,2441406,1220703,0.02441406,0.01220703,-1220703,-50.00000000,1220703,0.01220703,scheduled subsidy boundary
S0,S0,Unchanged binary halving,2730000,1220703,610351,0.01220703,0.00610351,-610352,-50.00004096,610352,0.00610352,scheduled subsidy boundary
S0,S0,Unchanged binary halving,2940000,610351,305175,0.00610351,0.00305175,-305176,-50.00008192,305176,0.00305176,scheduled subsidy boundary
S0,S0,Unchanged binary halving,3150000,305175,152587,0.00305175,0.00152587,-152588,-50.00016384,152588,0.00152588,scheduled subsidy boundary
