scenario_id,scenario_display_id,scenario_name,immediate_miner_revenue_shock_pct,first_later_reduction_height,first_later_reduction_pct,normal_scheduled_reduction_rate,largest_later_reduction_at_or_above_1_rin,height_of_largest_later_reduction_at_or_above_1_rin,largest_later_reduction_at_or_above_0_1_rin,height_of_largest_later_reduction_at_or_above_0_1_rin,largest_later_reduction_at_or_above_0_01_rin,height_of_largest_later_reduction_at_or_above_0_01_rin,terminal_integer_rounding_height,terminal_pre_boundary_subsidy_rin,terminal_transition_type,terminal_transition_shock,terminal_integer_rounding_shock
S0,S0,Unchanged binary halving,50.00000000,1050000,50.00000000,50.00000000%,50.00000000%,1050000,50.00000000%,1050000,50.00004096%,2730000,6930000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%
S1,S1,1/20 reduction without a floor,5.00000000,1050000,5.00000000,5.00000000%,5.00000067%,7140000,5.00000641%,16380000,5.00008281%,27090000,73710000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,5.00000000,1050000,5.00000000,5.00000000%,5.00000067%,7140000,5.00000131%,10920000,5.00000131%,10920000,261919612,0.50000000,predetermined fixed-phase termination,100.00000000%,n/a
S2b,S2/b,Bounded 1 RIN phase comparator,5.00000000,1050000,5.00000000,5.00000000%,5.00000067%,7140000,5.00000067%,7140000,5.00000067%,7140000,135706704,1.00000000,predetermined fixed-phase termination,100.00000000%,n/a
S3,S3,Perpetual 0.5 RIN tail-emission comparator,5.00000000,1050000,5.00000000,5.00000000%,5.00000067%,7140000,5.00000131%,10920000,5.00000131%,10920000,n/a,n/a,none under configured unbounded schedule,n/a,n/a
S4,S4,Idealized 113/114 cap-derived geometric schedule,0.87719312,1050000,0.87719308,0.87719298%,0.87719392%,43890000,0.87720104%,95550000,0.87728723%,153720000,384300000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",50.00000000,2940000,50.00000000,50.00000000%,50.00000000%,2940000,50.00000000%,2940000,50.00004096%,19740000,61740000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",0.00000000,2730000,50.00000000,50.00000000%,50.00000000%,2730000,50.00000000%,2730000,50.00004096%,21630000,63630000,0.00000001,integer-rounding exhaustion,100.00000000%,100.00000000%
S6a,S6/a,Customized Halving study scenario I,36.00000000,2100000,50.00000000,phase-dependent,50.00000000%,2100000,50.00000000%,2100000,50.00000000%,2100000,280245000,0.50000000,predetermined fixed-phase termination,100.00000000%,n/a
S6B,S6/b,Bounded Customized Halving study scenario II,36.00000000,2100000,50.00000000,phase-dependent,50.00000000%,2100000,50.00000000%,2100000,50.00000000%,2100000,234587500,0.60000000,integer-rounding exhaustion,100.00000000%,100.00000000%
S6c,S6/c,Customized Halving study scenario III,36.00000000,2100000,50.00000000,phase-dependent,50.00000000%,2100000,50.00000000%,2100000,50.00000000%,2100000,233187500,0.60000000,predetermined fixed-phase termination,100.00000000%,n/a
S7,S7,Aevust Core Customized Halving tail-emission implementation,36.00000000,2100000,50.00000000,phase-dependent,50.00000000%,2100000,50.00000000%,2100000,50.00000000%,2100000,n/a,n/a,none under configured unbounded schedule,n/a,n/a
