scenario_id,scenario_display_id,scenario_name,final_scheduled_issuance_rin_display,post_840k_issuance_rin_display,issuance_through_500y_rin_display,supply_multiple_relative_to_s0,years_until_zero_subsidy,post_activation_issuance_after_1y_rin_display,annual_issuance_at_1y_rin_display,annual_issuance_pct_at_1y,post_activation_issuance_after_2y_rin_display,annual_issuance_at_2y_rin_display,annual_issuance_pct_at_2y,post_activation_issuance_after_5y_rin_display,annual_issuance_at_5y_rin_display,annual_issuance_pct_at_5y,post_activation_issuance_after_10y_rin_display,annual_issuance_at_10y_rin_display,annual_issuance_pct_at_10y,post_activation_issuance_after_25y_rin_display,annual_issuance_at_25y_rin_display,annual_issuance_pct_at_25y
S0,S0,Unchanged binary halving,20999999.97690000,1312499.97690000,20999999.97690000,1.00000000,11.58675799,1066875.00000000,204726.56250000,0.98642605,1271601.56250000,33251.95180800,0.15865161,1312261.95534000,198.32205600,0.00094440,1312499.94384000,0.02899200,0.00000014,1312499.97690000,0.00000000,0.00000000
S1,S1,1/20 reduction without a floor,44624993.01750000,24937493.01750000,44624993.01750000,2.12499967,138.64155251,2997273.75000000,2649577.30776000,11.67998119,5646851.05776000,2318695.74579600,9.15237868,11808776.17164000,1585301.55716400,5.03329838,18029979.34674000,830448.96382800,2.20176157,23930272.32810000,121558.42755600,0.27869013
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,167999999.88020000,148312499.88020000,167999999.88020000,8.00000000,496.72681126,2997273.75000000,2649577.30776000,11.67998119,5646851.05776000,2318695.74579600,9.15237868,11808776.17164000,1585301.55716400,5.03329838,18029979.34674000,830448.96382800,2.20176157,24342693.88020000,262800.00000000,0.59686315
S2b,S2/b,Bounded 1 RIN phase comparator,167999999.31750000,148312499.31750000,167999999.31750000,7.99999998,256.59570776,2997273.75000000,2649577.30776000,11.67998119,5646851.05776000,2318695.74579600,9.15237868,11808776.17164000,1585301.55716400,5.03329838,18029979.34674000,830448.96382800,2.20176157,26585795.31750000,525600.00000000,1.13586032
S3,S3,Perpetual 0.5 RIN tail-emission comparator,,,168860193.88020000,,,2997273.75000000,2649577.30776000,11.67998119,5646851.05776000,2318695.74579600,9.15237868,11808776.17164000,1585301.55716400,5.03329838,18029979.34674000,830448.96382800,2.20176157,24342693.88020000,262800.00000000,0.59686315
S4,S4,Idealized 113/114 cap-derived geometric schedule,167999782.97970000,148312282.97970000,167999782.97970000,7.99998967,729.56621005,3233345.00014800,3165578.04270000,13.81091335,6398923.04284800,3093873.57891600,11.86009126,15482184.01368000,2898255.42720000,8.24077756,29350378.35312000,2593609.72623600,5.28899254,62853444.64320000,1864467.11114400,2.25883908
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",32812499.76900000,13124999.76900000,32812499.76900000,1.56249999,115.86757991,1642500.00000000,1642500.00000000,7.70042194,3285000.00000000,1642500.00000000,7.14985309,7387500.00000000,821250.00000000,3.03324100,10668750.00000000,410625.00000000,1.35268684,12946289.05980000,25664.05987200,0.07864260
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",44624999.76900000,24937499.76900000,44624999.76900000,2.12499999,119.46347032,3285000.00000000,3285000.00000000,14.29970617,6570000.00000000,3285000.00000000,12.51071123,14118750.00000000,1642500.00000000,4.85856905,20353125.00000000,821250.00000000,2.05104191,24600585.93750000,51328.12500000,0.11589601
S6a,S6/a,Customized Halving study scenario I,168000000.00000000,148312500.00000000,168000000.00000000,8.00000001,531.59246575,2102400.00000000,2102400.00000000,9.64850688,4204800.00000000,1468800.00000000,6.14758730,7776000.00000000,1051200.00000000,3.82762576,11136000.00000000,364800.00000000,1.18351258,15180000.00000000,262800.00000000,0.75371048
S6B,S6/b,Bounded Customized Halving study scenario II,168000000.00000000,148312500.00000000,168000000.00000000,8.00000001,444.72507610,2102400.00000000,2102400.00000000,9.64850688,4204800.00000000,1468800.00000000,6.14758730,7776000.00000000,1051200.00000000,3.82762576,11136000.00000000,396960.00000000,1.28784856,15948000.00000000,315360.00000000,0.88496022
S6c,S6/c,Customized Halving study scenario III,168000000.00000000,148312500.00000000,168000000.00000000,8.00000001,442.06145358,2102400.00000000,2102400.00000000,9.64850688,4204800.00000000,1468800.00000000,6.14758730,7776000.00000000,1051200.00000000,3.82762576,11136000.00000000,525600.00000000,1.70519247,16788000.00000000,315360.00000000,0.86458033
S7,S7,Aevust Core Customized Halving tail-emission implementation,,,185431500.00000000,,,2102400.00000000,2102400.00000000,9.64850688,4204800.00000000,1468800.00000000,6.14758730,7776000.00000000,1051200.00000000,3.82762576,11136000.00000000,396960.00000000,1.28784856,15948000.00000000,315360.00000000,0.88496022
