scenario_id,scenario_display_id,scenario_name,kind,activation_height,supply_at_activation_base_units,supply_at_activation_rin_display,first_activation_subsidy_base_units,first_activation_subsidy_rin_display,first_height_below_1_rin,first_height_below_0_5_rin,constant_phase_start_height,constant_phase_end_height,constant_phase_subsidy_base_units,constant_phase_subsidy_rin_display,constant_phase_blocks,constant_phase_years,constant_phase_issuance_base_units,constant_phase_issuance_rin_display,constant_phase_share_of_final_scheduled_issuance,constant_phase_share_of_post_activation_issuance,first_zero_subsidy_height,maximum_scheduled_issuance_base_units,maximum_scheduled_issuance_rin_display,maximum_supply_ceiling_base_units,maximum_supply_ceiling_rin_display,undershoot_base_units,undershoot_rin_display,post_activation_issuance_base_units,post_activation_issuance_rin_display,ceiling_usage_percent,supply_multiple_relative_to_s0,scheduled_issuance_through_plot_end_base_units,scheduled_issuance_through_plot_end_rin_display,unbounded
S0,S0,Unchanged binary halving,legacy_binary,840000,1968750000000000,19687500.00000000,312500000,3.12500000,1260000,1470000,,,,,,,,,,,6930000,2099999997690000,20999999.97690000,16800000000000000,168000000.00000000,14700000002310000,147000000.02310000,131249997690000,1312499.97690000,12.49999999,1.00000000,2099999997690000,20999999.97690000,false
S1,S1,1/20 reduction without a floor,one_twentieth_no_floor,840000,1968750000000000,19687500.00000000,593750000,5.93750000,8190000,11130000,,,,,,,,,,,73710000,4462499301750000,44624993.01750000,16800000000000000,168000000.00000000,12337500698250000,123375006.98250000,2493749301750000,24937493.01750000,26.56249584,2.12499967,4462499301750000,44624993.01750000,false
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,one_twentieth_finite_floor,840000,1968750000000000,19687500.00000000,593750000,5.93750000,8190000,261919612,11130000,261919612,50000000,0.50000000,250789612,477.14918569,12539480600000000,125394806.00000000,74.63976553,84.54769901,261919612,16799999988020000,167999999.88020000,16800000000000000,168000000.00000000,11980000,0.11980000,14831249988020000,148312499.88020000,99.99999993,8.00000000,16799999988020000,167999999.88020000,false
S2b,S2/b,Bounded 1 RIN phase comparator,one_twentieth_finite_floor,840000,1968750000000000,19687500.00000000,593750000,5.93750000,135706704,135706704,8190000,135706704,100000000,1.00000000,127516704,242.61168950,12751670400000000,127516704.00000000,75.90280031,85.97839332,135706704,16799999931750000,167999999.31750000,16800000000000000,168000000.00000000,68250000,0.68250000,14831249931750000,148312499.31750000,99.99999959,7.99999998,16799999931750000,167999999.31750000,false
S3,S3,Perpetual 0.5 RIN tail-emission comparator,one_twentieth_perpetual_floor,840000,1968750000000000,19687500.00000000,593750000,5.93750000,8190000,,11130000,,50000000,0.50000000,,,,,,,,,,16800000000000000,168000000.00000000,,,,,,,16886019388020000,168860193.88020000,true
S4,S4,Idealized 113/114 cap-derived geometric schedule,cap_derived_113_114,840000,1968750000000000,19687500.00000000,619517543,6.19517543,44310000,60900000,,,,,,,,,,,384300000,16799978297970000,167999782.97970000,16800000000000000,168000000.00000000,21702030000,217.02030000,14831228297970000,148312282.97970000,99.99987082,7.99998967,16799978297970000,167999782.97970000,false
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",extended_epoch_binary_halving,840000,1968750000000000,19687500.00000000,312500000,3.12500000,5040000,7140000,,,,,,,,,,,61740000,3281249976900000,32812499.76900000,16800000000000000,168000000.00000000,13518750023100000,135187500.23100000,1312499976900000,13124999.76900000,19.53124986,1.56249999,3281249976900000,32812499.76900000,false
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",extended_epoch_binary_halving,840000,1968750000000000,19687500.00000000,625000000,6.25000000,6930000,9030000,,,,,,,,,,,63630000,4462499976900000,44624999.76900000,16800000000000000,168000000.00000000,12337500023100000,123375000.23100000,2493749976900000,24937499.76900000,26.56249986,2.12499999,4462499976900000,44624999.76900000,false
S6a,S6/a,Customized Halving study scenario I,configured_phases,840000,1968750000000000,19687500.00000000,400000000,4.00000000,6300000,280245000,6300000,280245000,50000000,0.50000000,273945000,521.20433790,13697250000000000,136972500.00000000,81.53125000,92.35398230,280245000,16800000000000000,168000000.00000000,16800000000000000,168000000.00000000,0,0.00000000,14831250000000000,148312500.00000000,100.00000000,8.00000001,16800000000000000,168000000.00000000,false
S6B,S6/b,Bounded Customized Halving study scenario II,bounded_height_phases_to_ceiling,840000,1968750000000000,19687500.00000000,400000000,4.00000000,6300000,234587500,6300000,234587500,60000000,0.60000000,228287500,434.33694825,13697250000000000,136972500.00000000,81.53125000,92.35398230,234587500,16800000000000000,168000000.00000000,16800000000000000,168000000.00000000,0,0.00000000,14831250000000000,148312500.00000000,100.00000000,8.00000001,16800000000000000,168000000.00000000,false
S6c,S6/c,Customized Halving study scenario III,configured_phases,840000,1968750000000000,19687500.00000000,400000000,4.00000000,8400000,233187500,8400000,233187500,60000000,0.60000000,224787500,427.67789193,13487250000000000,134872500.00000000,80.28125000,90.93805310,233187500,16800000000000000,168000000.00000000,16800000000000000,168000000.00000000,0,0.00000000,14831250000000000,148312500.00000000,100.00000000,8.00000001,16800000000000000,168000000.00000000,false
S7,S7,Aevust Core Customized Halving tail-emission implementation,configured_phases,840000,1968750000000000,19687500.00000000,400000000,4.00000000,6300000,,6300000,,60000000,0.60000000,,,,,,,,,,16800000000000000,168000000.00000000,,,,,,,18543150000000000,185431500.00000000,true
