scenario_id,scenario_display_id,horizon_years,height,subsidy_rin_per_block,fee_share_pct,annual_realizable_miner_revenue_index,normalized_sustainable_hashrate_index,assumption_case
S0,S0,0,840000,3.12500000,0.00320086,1478297.31819120,2090734.77858470,flat price / base fee / reference hardware
S0,S0,1,1365600,0.78125000,0.01280220,369609.81819120,522733.88572755,flat price / base fee / reference hardware
S0,S0,2,1891200,0.09765625,0.10232591,46242.63069120,65400.29197755,flat price / base fee / reference hardware
S0,S0,5,3468000,0.00076293,11.59149903,408.21459840,577.33207488,flat price / base fee / reference hardware
S0,S0,10,6096000,0.00000009,99.91010787,47.36076480,66.98165307,flat price / base fee / reference hardware
S0,S0,25,13980000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S0,S0,50,27120000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S0,S0,100,53400000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S0,S0,250,132240000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S0,S0,500,263640000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S1,S1,0,840000,5.93750000,0.00168469,2808722.31819120,3972335.85001327,flat price / base fee / reference hardware
S1,S1,1,1365600,5.35859375,0.00186669,2534876.50569120,3585039.62947755,flat price / base fee / reference hardware
S1,S1,2,1891200,4.59432430,0.00217720,2173346.48506320,3073732.88601795,flat price / base fee / reference hardware
S1,S1,5,3468000,3.20838798,0.00311767,1517743.16825040,2146522.48081128,flat price / base fee / reference hardware
S1,S1,10,6096000,1.64700054,0.00607310,779144.45363280,1101932.87013782,flat price / base fee / reference hardware
S1,S1,25,13980000,0.24686925,0.04050301,116826.34821120,165225.83532727,flat price / base fee / reference hardware
S1,S1,50,27120000,0.00975101,1.01542578,4659.93596160,6590.48085998,flat price / base fee / reference hardware
S1,S1,100,53400000,0.00001592,86.26994394,54.84898800,77.57214017,flat price / base fee / reference hardware
S1,S1,250,132240000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S1,S1,500,263640000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S2a,S2/a,0,840000,5.93750000,0.00168469,2808722.31819120,3972335.85001327,flat price / base fee / reference hardware
S2a,S2/a,1,1365600,5.35859375,0.00186669,2534876.50569120,3585039.62947755,flat price / base fee / reference hardware
S2a,S2/a,2,1891200,4.59432430,0.00217720,2173346.48506320,3073732.88601795,flat price / base fee / reference hardware
S2a,S2/a,5,3468000,3.20838798,0.00311767,1517743.16825040,2146522.48081128,flat price / base fee / reference hardware
S2a,S2/a,10,6096000,1.64700054,0.00607310,779144.45363280,1101932.87013782,flat price / base fee / reference hardware
S2a,S2/a,25,13980000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S2a,S2/a,50,27120000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S2a,S2/a,100,53400000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S2a,S2/a,250,132240000,0.50000000,0.02000200,236567.31819120,334573.77858470,flat price / base fee / reference hardware
S2a,S2/a,500,263640000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S2b,S2/b,0,840000,5.93750000,0.00168469,2808722.31819120,3972335.85001327,flat price / base fee / reference hardware
