scenario_id,scenario_display_id,scenario_name,threshold_base_units,threshold_rin_display,first_height_below_threshold,years_after_activation
S0,S0,Unchanged binary halving,100000000,1.00000000,1260000,0.8
S0,S0,Unchanged binary halving,50000000,0.50000000,1470000,1.2
S0,S0,Unchanged binary halving,10000000,0.10000000,1890000,2.0
S0,S0,Unchanged binary halving,1000000,0.01000000,2730000,3.6
S0,S0,Unchanged binary halving,100000,0.00100000,3360000,4.8
S0,S0,Unchanged binary halving,1,0.00000001,6930000,11.6
S1,S1,1/20 reduction without a floor,100000000,1.00000000,8190000,14.0
S1,S1,1/20 reduction without a floor,50000000,0.50000000,11130000,19.6
S1,S1,1/20 reduction without a floor,10000000,0.10000000,17640000,32.0
S1,S1,1/20 reduction without a floor,1000000,0.01000000,27090000,49.9
S1,S1,1/20 reduction without a floor,100000,0.00100000,36540000,67.9
S1,S1,1/20 reduction without a floor,1,0.00000001,73710000,138.6
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,100000000,1.00000000,8190000,14.0
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,50000000,0.50000000,261919612,496.7
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,10000000,0.10000000,261919612,496.7
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,1000000,0.01000000,261919612,496.7
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,100000,0.00100000,261919612,496.7
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,1,0.00000001,261919612,496.7
S2b,S2/b,Bounded 1 RIN phase comparator,100000000,1.00000000,135706704,256.6
S2b,S2/b,Bounded 1 RIN phase comparator,50000000,0.50000000,135706704,256.6
S2b,S2/b,Bounded 1 RIN phase comparator,10000000,0.10000000,135706704,256.6
S2b,S2/b,Bounded 1 RIN phase comparator,1000000,0.01000000,135706704,256.6
S2b,S2/b,Bounded 1 RIN phase comparator,100000,0.00100000,135706704,256.6
S2b,S2/b,Bounded 1 RIN phase comparator,1,0.00000001,135706704,256.6
S3,S3,Perpetual 0.5 RIN tail-emission comparator,100000000,1.00000000,8190000,14.0
S3,S3,Perpetual 0.5 RIN tail-emission comparator,50000000,0.50000000,,
S3,S3,Perpetual 0.5 RIN tail-emission comparator,10000000,0.10000000,,
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1000000,0.01000000,,
S3,S3,Perpetual 0.5 RIN tail-emission comparator,100000,0.00100000,,
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1,0.00000001,,
S4,S4,Idealized 113/114 cap-derived geometric schedule,100000000,1.00000000,44310000,82.7
S4,S4,Idealized 113/114 cap-derived geometric schedule,50000000,0.50000000,60900000,114.3
S4,S4,Idealized 113/114 cap-derived geometric schedule,10000000,0.10000000,99330000,187.4
S4,S4,Idealized 113/114 cap-derived geometric schedule,1000000,0.01000000,154140000,291.7
S4,S4,Idealized 113/114 cap-derived geometric schedule,100000,0.00100000,208950000,395.9
S4,S4,Idealized 113/114 cap-derived geometric schedule,1,0.00000001,384300000,729.6
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",100000000,1.00000000,5040000,8.0
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",50000000,0.50000000,7140000,12.0
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",10000000,0.10000000,11340000,20.0
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",1000000,0.01000000,19740000,36.0
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",100000,0.00100000,26040000,47.9
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",1,0.00000001,61740000,115.9
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",100000000,1.00000000,6930000,11.6
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",50000000,0.50000000,9030000,15.6
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",10000000,0.10000000,13230000,23.6
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",1000000,0.01000000,21630000,39.6
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",100000,0.00100000,27930000,51.5
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",1,0.00000001,63630000,119.5
S6a,S6/a,Customized Halving study scenario I,100000000,1.00000000,6300000,10.4
S6a,S6/a,Customized Halving study scenario I,50000000,0.50000000,280245000,531.6
S6a,S6/a,Customized Halving study scenario I,10000000,0.10000000,280245000,531.6
S6a,S6/a,Customized Halving study scenario I,1000000,0.01000000,280245000,531.6
S6a,S6/a,Customized Halving study scenario I,100000,0.00100000,280245000,531.6
S6a,S6/a,Customized Halving study scenario I,1,0.00000001,280245000,531.6
S6B,S6/b,Bounded Customized Halving study scenario II,100000000,1.00000000,6300000,10.4
S6B,S6/b,Bounded Customized Halving study scenario II,50000000,0.50000000,234587500,444.7
S6B,S6/b,Bounded Customized Halving study scenario II,10000000,0.10000000,234587500,444.7
S6B,S6/b,Bounded Customized Halving study scenario II,1000000,0.01000000,234587500,444.7
S6B,S6/b,Bounded Customized Halving study scenario II,100000,0.00100000,234587500,444.7
S6B,S6/b,Bounded Customized Halving study scenario II,1,0.00000001,234587500,444.7
S6c,S6/c,Customized Halving study scenario III,100000000,1.00000000,8400000,14.4
S6c,S6/c,Customized Halving study scenario III,50000000,0.50000000,233187500,442.1
S6c,S6/c,Customized Halving study scenario III,10000000,0.10000000,233187500,442.1
S6c,S6/c,Customized Halving study scenario III,1000000,0.01000000,233187500,442.1
S6c,S6/c,Customized Halving study scenario III,100000,0.00100000,233187500,442.1
S6c,S6/c,Customized Halving study scenario III,1,0.00000001,233187500,442.1
S7,S7,Aevust Core Customized Halving tail-emission implementation,100000000,1.00000000,6300000,10.4
S7,S7,Aevust Core Customized Halving tail-emission implementation,50000000,0.50000000,,
S7,S7,Aevust Core Customized Halving tail-emission implementation,10000000,0.10000000,,
S7,S7,Aevust Core Customized Halving tail-emission implementation,1000000,0.01000000,,
S7,S7,Aevust Core Customized Halving tail-emission implementation,100000,0.00100000,,
S7,S7,Aevust Core Customized Halving tail-emission implementation,1,0.00000001,,
