epoch_start_height,epoch_number,subsidy_base_units,subsidy_rin
840000,1,593750000,5.93750000
1050000,2,564062500,5.64062500
1260000,3,535859375,5.35859375
1470000,4,509066406,5.09066406
1680000,5,483613085,4.83613085
1890000,6,459432430,4.59432430
2100000,7,436460808,4.36460808
2310000,8,414637767,4.14637767
2520000,9,393905878,3.93905878
2730000,10,374210584,3.74210584
2940000,11,355500054,3.55500054
3150000,12,337725051,3.37725051
3360000,13,320838798,3.20838798
3570000,14,304796858,3.04796858
3780000,15,289557015,2.89557015
3990000,16,275079164,2.75079164
4200000,17,261325205,2.61325205
4410000,18,248258944,2.48258944
4620000,19,235845996,2.35845996
4830000,20,224053696,2.24053696
5040000,21,212851011,2.12851011
5250000,22,202208460,2.02208460
5460000,23,192098037,1.92098037
5670000,24,182493135,1.82493135
5880000,25,173368478,1.73368478
6090000,26,164700054,1.64700054
6300000,27,156465051,1.56465051
6510000,28,148641798,1.48641798
6720000,29,141209708,1.41209708
6930000,30,134149222,1.34149222
7140000,31,127441760,1.27441760
7350000,32,121069672,1.21069672
7560000,33,115016188,1.15016188
7770000,34,109265378,1.09265378
7980000,35,103802109,1.03802109
8190000,36,98612003,0.98612003
8400000,37,93681402,0.93681402
8610000,38,88997331,0.88997331
8820000,39,84547464,0.84547464
9030000,40,80320090,0.80320090
9240000,41,76304085,0.76304085
9450000,42,72488880,0.72488880
9660000,43,68864436,0.68864436
9870000,44,65421214,0.65421214
10080000,45,62150153,0.62150153
10290000,46,59042645,0.59042645
10500000,47,56090512,0.56090512
10710000,48,53285986,0.53285986
10920000,49,50621686,0.50621686
11130000,50,48090601,0.48090601
11340000,51,45686070,0.45686070
11550000,52,43401766,0.43401766
11760000,53,41231677,0.41231677
11970000,54,39170093,0.39170093
12180000,55,37211588,0.37211588
12390000,56,35351008,0.35351008
12600000,57,33583457,0.33583457
12810000,58,31904284,0.31904284
13020000,59,30309069,0.30309069
13230000,60,28793615,0.28793615
13440000,61,27353934,0.27353934
13650000,62,25986237,0.25986237
13860000,63,24686925,0.24686925
14070000,64,23452578,0.23452578
14280000,65,22279949,0.22279949
14490000,66,21165951,0.21165951
14700000,67,20107653,0.20107653
14910000,68,19102270,0.19102270
15120000,69,18147156,0.18147156
15330000,70,17239798,0.17239798
15540000,71,16377808,0.16377808
15750000,72,15558917,0.15558917
15960000,73,14780971,0.14780971
16170000,74,14041922,0.14041922
16380000,75,13339825,0.13339825
16590000,76,12672833,0.12672833
16800000,77,12039191,0.12039191
17010000,78,11437231,0.11437231
17220000,79,10865369,0.10865369
17430000,80,10322100,0.10322100
17640000,81,9805995,0.09805995
17850000,82,9315695,0.09315695
18060000,83,8849910,0.08849910
18270000,84,8407414,0.08407414
18480000,85,7987043,0.07987043
18690000,86,7587690,0.07587690
18900000,87,7208305,0.07208305
19110000,88,6847889,0.06847889
19320000,89,6505494,0.06505494
19530000,90,6180219,0.06180219
19740000,91,5871208,0.05871208
19950000,92,5577647,0.05577647
20160000,93,5298764,0.05298764
20370000,94,5033825,0.05033825
20580000,95,4782133,0.04782133
20790000,96,4543026,0.04543026
21000000,97,4315874,0.04315874
21210000,98,4100080,0.04100080
21420000,99,3895076,0.03895076
21630000,100,3700322,0.03700322
21840000,101,3515305,0.03515305
22050000,102,3339539,0.03339539
22260000,103,3172562,0.03172562
22470000,104,3013933,0.03013933
22680000,105,2863236,0.02863236
22890000,106,2720074,0.02720074
23100000,107,2584070,0.02584070
23310000,108,2454866,0.02454866
23520000,109,2332122,0.02332122
23730000,110,2215515,0.02215515
23940000,111,2104739,0.02104739
24150000,112,1999502,0.01999502
24360000,113,1899526,0.01899526
24570000,114,1804549,0.01804549
24780000,115,1714321,0.01714321
24990000,116,1628604,0.01628604
25200000,117,1547173,0.01547173
25410000,118,1469814,0.01469814
25620000,119,1396323,0.01396323
25830000,120,1326506,0.01326506
26040000,121,1260180,0.01260180
26250000,122,1197171,0.01197171
26460000,123,1137312,0.01137312
26670000,124,1080446,0.01080446
26880000,125,1026423,0.01026423
27090000,126,975101,0.00975101
27300000,127,926345,0.00926345
27510000,128,880027,0.00880027
27720000,129,836025,0.00836025
27930000,130,794223,0.00794223
28140000,131,754511,0.00754511
28350000,132,716785,0.00716785
28560000,133,680945,0.00680945
28770000,134,646897,0.00646897
28980000,135,614552,0.00614552
29190000,136,583824,0.00583824
29400000,137,554632,0.00554632
29610000,138,526900,0.00526900
29820000,139,500555,0.00500555
30030000,140,475527,0.00475527
30240000,141,451750,0.00451750
30450000,142,429162,0.00429162
30660000,143,407703,0.00407703
30870000,144,387317,0.00387317
31080000,145,367951,0.00367951
31290000,146,349553,0.00349553
31500000,147,332075,0.00332075
31710000,148,315471,0.00315471
31920000,149,299697,0.00299697
32130000,150,284712,0.00284712
32340000,151,270476,0.00270476
32550000,152,256952,0.00256952
32760000,153,244104,0.00244104
32970000,154,231898,0.00231898
33180000,155,220303,0.00220303
33390000,156,209287,0.00209287
33600000,157,198822,0.00198822
33810000,158,188880,0.00188880
34020000,159,179436,0.00179436
34230000,160,170464,0.00170464
34440000,161,161940,0.00161940
34650000,162,153843,0.00153843
34860000,163,146150,0.00146150
35070000,164,138842,0.00138842
35280000,165,131899,0.00131899
35490000,166,125304,0.00125304
35700000,167,119038,0.00119038
35910000,168,113086,0.00113086
36120000,169,107431,0.00107431
36330000,170,102059,0.00102059
36540000,171,96956,0.00096956
36750000,172,92108,0.00092108
36960000,173,87502,0.00087502
37170000,174,83126,0.00083126
37380000,175,78969,0.00078969
37590000,176,75020,0.00075020
37800000,177,71269,0.00071269
38010000,178,67705,0.00067705
38220000,179,64319,0.00064319
38430000,180,61103,0.00061103
38640000,181,58047,0.00058047
38850000,182,55144,0.00055144
39060000,183,52386,0.00052386
39270000,184,49766,0.00049766
39480000,185,47277,0.00047277
39690000,186,44913,0.00044913
39900000,187,42667,0.00042667
40110000,188,40533,0.00040533
40320000,189,38506,0.00038506
40530000,190,36580,0.00036580
40740000,191,34751,0.00034751
40950000,192,33013,0.00033013
41160000,193,31362,0.00031362
41370000,194,29793,0.00029793
41580000,195,28303,0.00028303
41790000,196,26887,0.00026887
42000000,197,25542,0.00025542
42210000,198,24264,0.00024264
42420000,199,23050,0.00023050
42630000,200,21897,0.00021897
42840000,201,20802,0.00020802
43050000,202,19761,0.00019761
43260000,203,18772,0.00018772
43470000,204,17833,0.00017833
43680000,205,16941,0.00016941
43890000,206,16093,0.00016093
44100000,207,15288,0.00015288
44310000,208,14523,0.00014523
44520000,209,13796,0.00013796
44730000,210,13106,0.00013106
44940000,211,12450,0.00012450
45150000,212,11827,0.00011827
45360000,213,11235,0.00011235
45570000,214,10673,0.00010673
45780000,215,10139,0.00010139
45990000,216,9632,0.00009632
46200000,217,9150,0.00009150
46410000,218,8692,0.00008692
46620000,219,8257,0.00008257
46830000,220,7844,0.00007844
47040000,221,7451,0.00007451
47250000,222,7078,0.00007078
47460000,223,6724,0.00006724
47670000,224,6387,0.00006387
47880000,225,6067,0.00006067
48090000,226,5763,0.00005763
48300000,227,5474,0.00005474
48510000,228,5200,0.00005200
48720000,229,4940,0.00004940
48930000,230,4693,0.00004693
49140000,231,4458,0.00004458
49350000,232,4235,0.00004235
49560000,233,4023,0.00004023
49770000,234,3821,0.00003821
49980000,235,3629,0.00003629
50190000,236,3447,0.00003447
50400000,237,3274,0.00003274
50610000,238,3110,0.00003110
50820000,239,2954,0.00002954
51030000,240,2806,0.00002806
51240000,241,2665,0.00002665
51450000,242,2531,0.00002531
51660000,243,2404,0.00002404
51870000,244,2283,0.00002283
52080000,245,2168,0.00002168
52290000,246,2059,0.00002059
52500000,247,1956,0.00001956
52710000,248,1858,0.00001858
52920000,249,1765,0.00001765
53130000,250,1676,0.00001676
53340000,251,1592,0.00001592
53550000,252,1512,0.00001512
53760000,253,1436,0.00001436
53970000,254,1364,0.00001364
54180000,255,1295,0.00001295
54390000,256,1230,0.00001230
54600000,257,1168,0.00001168
54810000,258,1109,0.00001109
55020000,259,1053,0.00001053
55230000,260,1000,0.00001000
55440000,261,950,0.00000950
55650000,262,902,0.00000902
55860000,263,856,0.00000856
56070000,264,813,0.00000813
56280000,265,772,0.00000772
56490000,266,733,0.00000733
56700000,267,696,0.00000696
56910000,268,661,0.00000661
57120000,269,627,0.00000627
57330000,270,595,0.00000595
57540000,271,565,0.00000565
57750000,272,536,0.00000536
57960000,273,509,0.00000509
58170000,274,483,0.00000483
58380000,275,458,0.00000458
58590000,276,435,0.00000435
58800000,277,413,0.00000413
59010000,278,392,0.00000392
59220000,279,372,0.00000372
59430000,280,353,0.00000353
59640000,281,335,0.00000335
59850000,282,318,0.00000318
60060000,283,302,0.00000302
60270000,284,286,0.00000286
60480000,285,271,0.00000271
60690000,286,257,0.00000257
60900000,287,244,0.00000244
61110000,288,231,0.00000231
61320000,289,219,0.00000219
61530000,290,208,0.00000208
61740000,291,197,0.00000197
61950000,292,187,0.00000187
62160000,293,177,0.00000177
62370000,294,168,0.00000168
62580000,295,159,0.00000159
62790000,296,151,0.00000151
63000000,297,143,0.00000143
63210000,298,135,0.00000135
63420000,299,128,0.00000128
63630000,300,121,0.00000121
63840000,301,114,0.00000114
64050000,302,108,0.00000108
64260000,303,102,0.00000102
64470000,304,96,0.00000096
64680000,305,91,0.00000091
64890000,306,86,0.00000086
65100000,307,81,0.00000081
65310000,308,76,0.00000076
65520000,309,72,0.00000072
65730000,310,68,0.00000068
65940000,311,64,0.00000064
66150000,312,60,0.00000060
66360000,313,57,0.00000057
66570000,314,54,0.00000054
66780000,315,51,0.00000051
66990000,316,48,0.00000048
67200000,317,45,0.00000045
67410000,318,42,0.00000042
67620000,319,39,0.00000039
67830000,320,37,0.00000037
68040000,321,35,0.00000035
68250000,322,33,0.00000033
68460000,323,31,0.00000031
68670000,324,29,0.00000029
68880000,325,27,0.00000027
69090000,326,25,0.00000025
69300000,327,23,0.00000023
69510000,328,21,0.00000021
69720000,329,19,0.00000019
69930000,330,18,0.00000018
70140000,331,17,0.00000017
70350000,332,16,0.00000016
70560000,333,15,0.00000015
70770000,334,14,0.00000014
70980000,335,13,0.00000013
71190000,336,12,0.00000012
71400000,337,11,0.00000011
71610000,338,10,0.00000010
71820000,339,9,0.00000009
72030000,340,8,0.00000008
72240000,341,7,0.00000007
72450000,342,6,0.00000006
72660000,343,5,0.00000005
72870000,344,4,0.00000004
73080000,345,3,0.00000003
73290000,346,2,0.00000002
73500000,347,1,0.00000001
73710000,348,0,0.00000000
