phase_start_height,phase_number,subsidy_base_units,subsidy_rin
630000,0,625000000,6.25000000
2730000,1,312500000,3.12500000
4830000,2,156250000,1.56250000
6930000,3,78125000,0.78125000
9030000,4,39062500,0.39062500
11130000,5,19531250,0.19531250
13230000,6,9765625,0.09765625
15330000,7,4882812,0.04882812
17430000,8,2441406,0.02441406
19530000,9,1220703,0.01220703
21630000,10,610351,0.00610351
23730000,11,305175,0.00305175
25830000,12,152587,0.00152587
27930000,13,76293,0.00076293
30030000,14,38146,0.00038146
32130000,15,19073,0.00019073
34230000,16,9536,0.00009536
36330000,17,4768,0.00004768
38430000,18,2384,0.00002384
40530000,19,1192,0.00001192
42630000,20,596,0.00000596
44730000,21,298,0.00000298
46830000,22,149,0.00000149
48930000,23,74,0.00000074
51030000,24,37,0.00000037
53130000,25,18,0.00000018
55230000,26,9,0.00000009
57330000,27,4,0.00000004
59430000,28,2,0.00000002
61530000,29,1,0.00000001
63630000,30,0,0.00000000
